조사년도,조사월,측정소명,Rain ,WT,pH,DO ,BOD ,COD ,SS ,EC ,TN ,TP ,TOC 
2015,3,영산포-1,37,9.1,7.7,13.2,5.6,8.3,20.5,377,6.029,0.103,5.8
2015,4,영산포-1,153.82,15.1,7.5,8.9,5.5,7.5,16.6,319,4.748,0.11,5.6
2015,5,영산포-1,67.53,20.4,7.2,8.1,3.6,6.5,21.2,233,3.242,0.109,5
2015,6,영산포-1,98.94,24.1,7,6.7,5.5,8.2,25.6,278,3.725,0.103,6.7
2015,7,영산포-1,179.48,25.8,7.4,6.9,3.9,7.5,21.9,201,2.928,0.139,5.4
2015,8,영산포-1,145.93,27.7,7.3,5.3,4.2,8.2,21.6,285,3.431,0.19,5.8
2015,9,영산포-1,66.71,25,7.3,7.1,3.5,6.7,16.7,214,2.514,0.135,4.9
2015,10,영산포-1,87.58,19.7,7.3,8.5,4,6.5,17.6,217,2.841,0.117,5.1
2015,11,영산포-1,112.49,15.4,7,8.8,4.3,6.5,13.1,347,3.945,0.098,5.2
2015,12,영산포-1,58,9.6,6.8,9.5,2.9,5.5,9.5,313,4.364,0.129,2.8
2016,1,영산포-1,52.25,3.6,8.4,14.5,4.7,8.1,15.9,369,5.226,0.104,7.5
2016,2,영산포-1,46.2,5.3,7.3,14.2,4.1,6.5,15,358,5.067,0.139,5.6
2016,3,영산포-1,63.29,10.3,7.5,13.3,5,7.7,19.6,273,4.042,0.118,5.8
2016,4,영산포-1,194.09,16.4,7.2,9.5,4.5,6.3,12.8,294,3.852,0.096,5.4
2016,5,영산포-1,111.87,19.9,7.3,9.3,4.1,6.5,22,202,2.573,0.097,5.5
2016,6,영산포-1,122.81,24.4,7.1,6.7,4.9,8.6,22.8,289,3.751,0.135,7.3
2016,7,영산포-1,277.39,26.6,6.9,6.9,3,6.9,20.9,185,2.459,0.138,5.6
2016,8,영산포-1,70.98,29.5,7.2,5.6,5.1,11.3,23.2,280,2.578,0.181,7.9
2016,9,영산포-1,244.67,23.7,6.9,7.3,3.2,7.3,11.6,190,2.502,0.135,5.5
2016,10,영산포-1,211.61,19.8,7.1,8.4,3.3,6.4,27.5,182,3.037,0.196,4.8
2016,11,영산포-1,43.56,13.2,7.4,10,3.4,5.8,11.6,302,4.027,0.102,4.7
2016,12,영산포-1,46.98,8.1,7,11.2,3.4,6.1,7.7,350,4.594,0.091,5
2017,1,영산포-1,11.78,5.4,7.3,13.1,3.4,6.7,6.9,332,4.325,0.094,5
