Date,Chla,y_t+1,Chla_t-12,Chla_t-11,Chla_t-10,Chla_t-9,Chla_t-8,Chla_t-7,Chla_t-6,Chla_t-5,Chla_t-4,Chla_t-3,Chla_t-2,Chla_t-1,Chla_t-0
2019.01.28,115.1,126,29.3,93.4,51.4,109.6,77.2,72,75.9,106.8,113.3,55.5,75.1,128.7,115.1
2019.02.07,126,205,93.4,51.4,109.6,77.2,72,75.9,106.8,113.3,55.5,75.1,128.7,115.1,126
2019.02.11,205,75.2,51.4,109.6,77.2,72,75.9,106.8,113.3,55.5,75.1,128.7,115.1,126,205
2019.02.18,75.2,130.4,109.6,77.2,72,75.9,106.8,113.3,55.5,75.1,128.7,115.1,126,205,75.2
2019.02.25,130.4,112.6,77.2,72,75.9,106.8,113.3,55.5,75.1,128.7,115.1,126,205,75.2,130.4
2019.03.04,112.6,105.1,72,75.9,106.8,113.3,55.5,75.1,128.7,115.1,126,205,75.2,130.4,112.6
2019.03.11,105.1,92,75.9,106.8,113.3,55.5,75.1,128.7,115.1,126,205,75.2,130.4,112.6,105.1
2019.03.18,92,52,106.8,113.3,55.5,75.1,128.7,115.1,126,205,75.2,130.4,112.6,105.1,92
2019.03.25,52,31.5,113.3,55.5,75.1,128.7,115.1,126,205,75.2,130.4,112.6,105.1,92,52
2019.04.01,31.5,79.9,55.5,75.1,128.7,115.1,126,205,75.2,130.4,112.6,105.1,92,52,31.5
2019.04.08,79.9,31,75.1,128.7,115.1,126,205,75.2,130.4,112.6,105.1,92,52,31.5,79.9
2019.04.15,31,38,128.7,115.1,126,205,75.2,130.4,112.6,105.1,92,52,31.5,79.9,31
2019.04.22,38,51.5,115.1,126,205,75.2,130.4,112.6,105.1,92,52,31.5,79.9,31,38
2019.04.30,51.5,62.6,126,205,75.2,130.4,112.6,105.1,92,52,31.5,79.9,31,38,51.5
2019.05.07,62.6,38.4,205,75.2,130.4,112.6,105.1,92,52,31.5,79.9,31,38,51.5,62.6
2019.05.13,38.4,20.4,75.2,130.4,112.6,105.1,92,52,31.5,79.9,31,38,51.5,62.6,38.4
2019.05.20,20.4,22.7,130.4,112.6,105.1,92,52,31.5,79.9,31,38,51.5,62.6,38.4,20.4
2019.05.28,22.7,102.4,112.6,105.1,92,52,31.5,79.9,31,38,51.5,62.6,38.4,20.4,22.7
2019.06.03,102.4,41.8,105.1,92,52,31.5,79.9,31,38,51.5,62.6,38.4,20.4,22.7,102.4
2019.06.10,41.8,39.7,92,52,31.5,79.9,31,38,51.5,62.6,38.4,20.4,22.7,102.4,41.8
2019.06.17,39.7,52,52,31.5,79.9,31,38,51.5,62.6,38.4,20.4,22.7,102.4,41.8,39.7
2019.06.24,52,16.3,31.5,79.9,31,38,51.5,62.6,38.4,20.4,22.7,102.4,41.8,39.7,52
2019.07.02,16.3,22,79.9,31,38,51.5,62.6,38.4,20.4,22.7,102.4,41.8,39.7,52,16.3
2019.07.08,22,73,31,38,51.5,62.6,38.4,20.4,22.7,102.4,41.8,39.7,52,16.3,22
2019.07.15,73,8.9,38,51.5,62.6,38.4,20.4,22.7,102.4,41.8,39.7,52,16.3,22,73
2019.07.23,8.9,7.3,51.5,62.6,38.4,20.4,22.7,102.4,41.8,39.7,52,16.3,22,73,8.9
2019.07.29,7.3,54.9,62.6,38.4,20.4,22.7,102.4,41.8,39.7,52,16.3,22,73,8.9,7.3
2019.08.05,54.9,23.4,38.4,20.4,22.7,102.4,41.8,39.7,52,16.3,22,73,8.9,7.3,54.9
2019.08.12,23.4,89.4,20.4,22.7,102.4,41.8,39.7,52,16.3,22,73,8.9,7.3,54.9,23.4
2019.08.19,89.4,47,22.7,102.4,41.8,39.7,52,16.3,22,73,8.9,7.3,54.9,23.4,89.4
2019.08.26,47,33.9,102.4,41.8,39.7,52,16.3,22,73,8.9,7.3,54.9,23.4,89.4,47
2019.09.03,33.9,12.8,41.8,39.7,52,16.3,22,73,8.9,7.3,54.9,23.4,89.4,47,33.9
2019.09.10,12.8,34.1,39.7,52,16.3,22,73,8.9,7.3,54.9,23.4,89.4,47,33.9,12.8
2019.09.16,34.1,6.8,52,16.3,22,73,8.9,7.3,54.9,23.4,89.4,47,33.9,12.8,34.1
