yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
2013/06,7.2,7.5,3.8,8.9,13.8,2.446,0.094,24.2,252,1585,0.304,1.323,175
2013/07,7.5,7.4,2.3,7.1,11.8,1.867,0.101,26.5,236,6036,0.104,1.217,1282
2013/08,7.3,7.7,3.1,8.2,17.5,1.579,0.126,28.2,221,14050,0.087,0.953,4991
2013/09,7.2,8.6,2.6,6.9,9.3,1.659,0.083,23.5,246,1670,0.062,1.147,448
2013/10,7.5,8.8,2.5,6.5,7.9,1.616,0.065,19.3,369,2073,0.041,1.053,330
2013/11,7.4,10.8,3,5.8,8.9,1.995,0.094,10.9,309,7900,0.226,1.297,800
2013/12,7.3,42.7,1.9,3.7,3.9,3.071,0.064,5.3,358,538,0.162,2.697,177
2014/01,7.5,11.8,2.4,3.9,5.4,3.396,0.064,2.4,352,398,0.163,3.017,59
2014/02,8.4,13.9,3.9,5.7,11.6,2.99,0.092,4.8,339,310,0.095,2.277,96
2014/03,8.5,13,6.1,9.1,20.8,2.226,0.117,9.1,394,237,0.076,1.342,96
2014/04,7.8,10.2,4,7.5,14.7,1.437,0.09,15.8,367,5724,0.067,0.809,298
2014/05,7.3,8.6,5.2,9.2,22.6,1.772,0.163,19.7,276,14633,0.357,0.588,2367
2014/06,7.3,6.6,3.9,8.2,11.5,2.313,0.138,24,291,2550,0.354,1.025,371
2014/07,7.3,6.9,3.4,7.3,9.5,1.709,0.106,25.6,227,24670,0.122,0.936,8810
2014/08,7.3,8.6,1.7,5.4,17.1,1.894,0.108,24.2,129,13275,0.189,1.308,2038
2014/09,7.3,8.4,1.5,4.4,7,1.56,0.071,22.4,244,3546,0.063,0.964,782
2014/10,7.1,9.2,2.2,5.3,5.8,1.775,0.073,17.8,263,8670,0.11,1.2,855
2014/11,7.3,11.3,1.6,4.3,4.1,2.048,0.06,11.4,303,2898,0.08,1.483,219
2014/12,7.2,13.6,1,3.8,2.8,2.522,0.044,5,300,2404,0.119,2.004,536
