T-N,T-P,NH3-N,PO4-P,Rain
2.829,0.185,0.63,0.07,71
3.005,0.133,0.586,0.065,244.7
2.63,0.165,0.525,0.096,211.6
4.601,0.136,1.033,0.05,43.6
5.861,0.108,1.319,0.025,47
5.527,0.115,1.166,0.021,11.8
6.399,0.142,2.049,0.015,39.5
6.833,0.122,2.948,0.01,10.1
5.17,0.149,1.971,0.034,22.8
6.118,0.137,2.333,0.053,80.3
4.408,0.105,1.263,0.018,48.2
2.964,0.165,0.959,0.098,229.7
3.362,0.147,1.427,0.084,231.1
2.674,0.089,0.46,0.037,83.8
4.097,0.078,1.08,0.025,66
5.516,0.086,1.439,0.016,7.7
7.135,0.147,3.026,0.019,29.9
7.06,0.134,3.091,0.018,49
9.613,0.169,6.366,0.019,44.5
5.919,0.193,2.933,0.05,120.4
5.105,0.128,2.179,0.03,108.2
3.761,0.147,1.383,0.037,135.8
4.245,0.125,1.3,0.024,168.6
4.454,0.156,1.672,0.056,150.2
3.563,0.181,1.264,0.063,358.6
3.203,0.106,0.576,0.052,106.4
3.558,0.145,0.755,0.056,107.4
4.909,0.166,1.756,0.04,37.8
5.626,0.135,1.513,0.04,25.2
7.469,0.126,2.345,0.021,12.5
6.43,0.174,2.569,0.033,28.1
5.814,0.183,2.738,0.029,26.3
5.298,0.194,2.896,0.03,65.2
3.962,0.184,1.938,0.041,62.7
3.317,0.15,1.516,0.025,122.2
2.78,0.124,0.751,0.067,182.7
3.215,0.16,1.074,0.056,53.7
3.222,0.128,0.811,0.053,132
3.441,0.075,0.551,0.03,115.7
5.353,0.08,1.583,0.029,17.1
6.336,0.095,2.046,0.012,24.7
5.869,0.071,1.901,0.039,41.9
6.715,0.076,2.553,0.015,25.3
6.56,0.084,2.783,0.011,37
4.981,0.099,2.15,0.038,153.8
3.524,0.067,1.013,0.027,67.5
3.908,0.059,1.412,0.015,98.9
3.17,0.093,0.764,0.047,179.5
2.623,0.123,0.536,0.055,145.9
2.418,0.083,0.491,0.047,66.7
2.828,0.073,0.509,0.033,87.6
4.368,0.114,1.233,0.081,112.5
4.31,0.109,0.869,0.075,58
5.387,0.061,0.672,0.009,52.3
4.871,0.112,1.315,0.073,46.2
4.154,0.092,0.899,0.04,63.3
4.586,0.114,1.091,0.051,194.1
2.929,0.087,0.326,0.024,111.9
3.651,0.133,0.913,0.048,122.8
2.492,0.098,0.185,0.05,277.4
2.581,0.112,0.451,0.056,71
2.955,0.15,0.555,0.092,244.7
2.941,0.169,0.562,0.12,211.6
4.892,0.088,0.778,0.036,43.6
6.227,0.088,1.172,0.034,47
5.143,0.077,0.819,0.018,11.8
7.245,0.087,1.707,0.005,39.5
6.284,0.157,2.112,0.027,10.1
5.551,0.102,2.079,0.029,22.8
5.377,0.081,1.613,0.018,80.3
4.768,0.125,1.293,0.025,48.2
3.857,0.186,1.285,0.106,229.7
3.293,0.172,1.142,0.083,231.1
2.645,0.101,0.312,0.051,83.8
3.789,0.083,0.582,0.024,66
5.276,0.066,1.108,0.007,7.7
7.247,0.09,2.014,0.003,29.9
7.636,0.122,2.905,0.021,49
9.432,0.089,5.143,0.008,44.5
6.634,0.15,3.393,0.044,120.4
5.022,0.121,1.958,0.032,108.2
3.941,0.127,1.492,0.039,135.8
4.233,0.153,1.245,0.042,168.6
3.507,0.231,0.677,0.071,150.2
3.16,0.191,1.167,0.106,358.6
2.85,0.157,0.412,0.062,106.4
3.803,0.103,0.413,0.051,107.4
3.104,0.097,0.726,0.019,37.8
4.143,0.089,0.972,0.01,25.2
6.652,0.102,1.972,0.015,12.5
6.452,0.141,1.705,0.005,28.1
6.849,0.135,2.693,0.014,26.3
5.548,0.117,1.977,0.021,65.2
4.361,0.142,1.961,0.057,62.7
3.695,0.122,1.014,0.029,122.2
3.051,0.226,0.541,0.091,182.7
3.027,0.15,0.53,0.075,53.7
2.776,0.152,0.363,0.076,132
3.313,0.063,0.39,0.027,115.7
5.21,0.068,1.118,0.011,17.1
6.414,0.102,2.181,0.051,24.7
5.335,0.092,1.648,0.031,41.9
6.035,0.101,2.221,0.006,25.3
6.218,0.091,2.593,0.006,37
5.008,0.109,2.079,0.033,153.8
3.289,0.099,1.062,0.04,67.5
3.855,0.095,1.412,0.02,98.9
2.966,0.122,0.57,0.043,179.5
3.023,0.133,0.647,0.052,145.9
2.776,0.103,0.459,0.035,66.7
2.916,0.104,0.52,0.038,87.6
4.355,0.099,0.956,0.042,112.5
4.391,0.14,0.84,0.052,58
4.95,0.093,0.418,0.004,52.3
4.708,0.13,0.946,0.042,46.2
4.281,0.114,0.887,0.013,63.3
4.03,0.099,0.885,0.019,194.1
2.901,0.096,0.445,0.024,111.9
3.753,0.12,1.157,0.037,122.8
2.488,0.131,0.475,0.065,277.4
2.528,0.128,0.785,0.078,71
2.82,0.141,0.672,0.082,244.7
2.841,0.17,0.622,0.098,211.6
4.171,0.098,0.622,0.019,43.6
5.176,0.082,0.974,0.017,47
4.934,0.104,0.777,0.017,11.8
6.062,0.111,1.212,0.012,39.5
5.89,0.092,1.932,0.017,10.1
5.514,0.094,2.329,0.016,22.8
4.829,0.07,1.515,0.02,80.3
3.992,0.079,1.02,0.007,48.2
3.294,0.145,1.163,0.079,229.7
2.368,0.134,0.517,0.065,231.1
2.228,0.147,0.12,0.046,83.8
3.108,0.081,0.677,0.015,66
4.797,0.093,1.147,0.019,7.7
6.218,0.077,1.854,0.01,29.9
6.771,0.137,2.66,0.021,49
7.686,0.111,4.539,0.015,44.5
6.632,0.152,3.478,0.038,120.4
4.52,0.1,1.629,0.023,108.2
3.909,0.104,1.546,0.026,135.8
3.897,0.085,1.318,0.023,168.6
2.975,0.125,0.515,0.066,150.2
2.8,0.188,0.991,0.082,358.6
2.537,0.101,0.256,0.046,106.4
2.975,0.116,0.206,0.034,107.4
4.056,0.176,0.88,0.028,37.8
5.522,0.176,1.429,0.028,25.2
7.198,0.145,1.775,0.013,12.5
6.292,0.197,2.299,0.014,28.1
6.492,0.192,2.755,0.013,26.3
4.441,0.156,2.08,0.029,65.2
3.878,0.149,2.154,0.044,62.7
2.811,0.132,1.181,0.017,122.2
2.46,0.118,0.421,0.053,182.7
2.128,0.142,0.347,0.065,53.7
2.608,0.137,0.339,0.07,132
3.111,0.068,0.181,0.024,115.7
4.537,0.062,0.597,0.023,17.1
5.832,0.088,1.843,0.049,24.7
5.134,0.099,1.457,0.017,41.9
5.714,0.096,1.809,0.007,25.3
6.029,0.103,2.214,0.006,37
4.748,0.11,1.872,0.03,153.8
3.242,0.109,0.854,0.03,67.5
3.725,0.103,1.261,0.016,98.9
2.928,0.139,0.497,0.044,179.5
3.431,0.19,0.729,0.068,145.9
2.514,0.135,0.347,0.034,66.7
2.841,0.117,0.409,0.031,87.6
3.945,0.098,0.673,0.016,112.5
4.364,0.129,0.861,0.062,58
5.226,0.104,0.3,0.007,52.3
5.067,0.139,1.062,0.041,46.2
4.042,0.118,0.678,0.019,63.3
3.852,0.096,0.735,0.024,194.1
2.573,0.097,0.259,0.026,111.9
3.751,0.135,0.985,0.035,122.8
2.459,0.138,0.323,0.067,277.4
2.578,0.181,0.576,0.074,71
2.502,0.135,0.444,0.073,244.7
3.037,0.196,0.502,0.102,211.6
4.027,0.102,0.538,0.034,43.6
4.594,0.091,0.843,0.029,47
4.325,0.094,0.724,0.016,11.8
5.665,0.111,0.809,0.008,39.5
5.857,0.085,1.943,0.017,10.1
5.697,0.134,2.073,0.057,22.8
4.327,0.066,1.112,0.012,80.3
3.892,0.092,1.182,0.005,48.2
3.168,0.135,1.111,0.064,229.7
3.01,0.159,0.914,0.07,231.1
2.183,0.1,0.176,0.052,83.8
2.886,0.078,0.545,0.019,66
4.581,0.073,0.998,0.008,7.7
5.655,0.071,1.297,0.011,29.9
6.551,0.159,2.274,0.017,49
7.818,0.12,4.195,0.02,44.5
7.502,0.118,4.24,0.019,120.4
4.374,0.1,1.529,0.021,108.2
4.07,0.097,1.658,0.024,135.8
