site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
우치,Sep-19,9,7.2,8.2,1.6,5.7,4.2,1.729,0.077,4.4,23.2,236,9880,1.666,0.037,1.271,0.06,0.057,6.5,3226,125.67
우치,Oct-19,10,7.6,10.3,1.3,4.6,4.1,1.968,0.048,3.3,16.8,252,8325,1.944,0.031,1.658,0.033,0.024,10.1,2930,128.67
우치,Nov-19,11,7.8,9.6,3.4,7,11.4,1.974,0.077,6.5,12.6,318,6865,1.847,0.05,1.442,0.037,0.026,50.2,2230,46.06
우치,Dec-19,12,7.9,11.9,2.9,5.1,6,2.557,0.055,4.9,5.9,344,4600,2.49,0.077,2.116,0.034,0.025,28,1008,32.72
광주1,Jan-15,1,7.8,16.9,1.9,4.5,4.5,2.814,0.052,2.4,4.9,311,39700,2.713,0.275,1.928,0.033,0.023,7.3,3300,12.22
광주1,Feb-15,2,8,12.2,3.1,5.6,5.7,2.557,0.081,2.7,5.7,312,11400,2.466,0.299,1.637,0.06,0.047,13.2,675,7.79
광주1,Mar-15,3,8.3,11.2,5.1,8.8,14.3,2.151,0.122,3.8,9.8,329,10800,1.907,0.296,1.035,0.066,0.019,62.1,840,99.32
광주1,Apr-15,4,8.1,9.2,5.1,10.2,15.6,2.059,0.162,4.6,15.8,264,64500,1.87,0.392,0.965,0.095,0.073,51.9,2725,64.8
광주1,May-15,5,8.3,9.7,4.8,10.1,26.4,1.753,0.105,4.5,21.2,187,18000,1.669,0.198,0.703,0.062,0.039,38.8,1700,5.98
광주1,Jun-15,6,8,8.7,3.5,9.8,14.7,2.493,0.09,5.6,24.7,239,12250,2.333,0.427,0.944,0.051,0.033,25.7,1025,7.32
광주1,Jul-15,7,7.6,7.8,3.3,8.1,18.6,2.106,0.114,5,25.4,178,141000,2.048,0.191,1.292,0.08,0.063,17.2,8000,37.24
광주1,Aug-15,8,7.8,6.9,3.2,7.6,15.8,1.428,0.107,3.8,27.2,171,82000,1.342,0.269,0.565,0.076,0.064,24.6,11700,58.51
광주1,Sep-15,9,7.9,8.8,1.7,6,7.5,0.879,0.056,3.4,24.4,223,17500,0.827,0.045,0.366,0.039,0.033,16.7,1300,13.06
광주1,Oct-15,10,8,11.8,3.6,7.5,9.7,1.069,0.051,3.6,19.8,248,14500,0.94,0.047,0.455,0.03,0.012,34.4,2550,38.84
광주1,Nov-15,11,7.7,10.4,2.6,7.8,8.3,1.864,0.093,3.7,14.5,292,28900,1.815,0.17,1.309,0.064,0.048,19.8,4750,93.1
광주1,Dec-15,12,7.6,12.2,1.8,5.3,6.7,2.634,0.071,2.9,9.2,303,54000,2.611,0.185,2.558,0.046,0.038,4.8,1075,49.99
광주1,Jan-16,1,7.7,14.7,1.9,4.5,4.4,2.642,0.056,2.3,4.2,328,14750,2.563,0.198,2.087,0.033,0.026,7.5,500,47.5
광주1,Feb-16,2,7.7,13.6,2.6,6.1,7.8,2.932,0.073,2.8,5.2,319,18750,2.846,0.246,1.962,0.045,0.032,10.5,1100,22.29
광주1,Mar-16,3,8,12.4,3.6,7.6,21.2,2.471,0.098,3.5,10.7,257,11136,2.341,0.223,1.529,0.04,0.029,27.6,2780,36.39
광주1,Apr-16,4,8.4,11,4.6,10.2,16.5,2.104,0.106,4.2,17.8,205,3300,1.739,0.102,0.978,0.04,0.02,54.7,875,141.03
광주1,May-16,5,8,9.1,3,7.5,10.7,1.65,0.068,4.1,21.5,212,4800,1.49,0.061,0.744,0.035,0.02,25.7,390,46.8
광주1,Jun-16,6,7.8,8,2.8,9.2,11.8,2.234,0.077,5.2,24,222,1900,2.087,0.188,1.021,0.051,0.032,25.1,504,101.66
광주1,Jul-16,7,7.7,8.6,2.2,7.3,9.3,2.145,0.09,3.6,27.1,204,4825,1.954,0.127,1.095,0.062,0.056,17.5,2940,167.04
광주1,Aug-16,8,8,8,2.9,7.6,9.4,1.111,0.098,4.1,28.7,244,9280,0.965,0.074,0.363,0.062,0.049,35.1,3960,139.77
광주1,Sep-16,9,7.9,10.5,2.1,7.1,6.9,1.548,0.082,3.8,24.6,212,14325,1.441,0.078,0.928,0.054,0.045,14.6,4850,59.78
광주1,Oct-16,10,7.7,10.3,2.4,6.3,9.4,2.05,0.123,3.7,18.4,197,13650,1.996,0.128,1.365,0.096,0.084,5.7,4750,95.25
광주1,Nov-16,11,8.4,12.2,3.6,5.1,7,2.234,0.074,4,11.7,230,13640,2.038,0.057,1.289,0.052,0.02,45.3,2960,120.23
광주1,Dec-16,12,8,13.4,3.5,4.9,9.5,2.767,0.095,3.1,6.3,290,41000,2.677,0.312,1.671,0.041,0.026,26.8,11000,61.39
광주1,Jan-17,1,8,14.2,2.8,4.9,7.8,2.876,0.078,2.8,4.7,336,9450,2.706,0.255,1.754,0.05,0.039,9.2,2525,51.16
광주1,Feb-17,2,7.9,13.3,3.6,5.9,13.3,2.727,0.077,3.7,5.7,321,8640,2.56,0.168,1.592,0.035,0.018,22.8,2456,43.52
광주1,Mar-17,3,8.2,12.8,5.7,9.4,20.9,1.926,0.106,5.5,9.8,282,17300,1.713,0.087,0.845,0.05,0.036,120.6,1200,58.43
광주1,Apr-17,4,8.3,10.1,8.1,12.4,28.3,1.799,0.152,6.7,16.7,276,33500,1.366,0.172,0.425,0.071,0.046,117.7,8610,185.56
광주1,May-17,5,8,11.5,4.8,11.3,20.1,1.591,0.123,6.9,20.9,311,16725,1.494,0.283,0.315,0.073,0.038,32.8,748,105.54
광주1,Jun-17,6,8.1,10.4,5,12.3,19.1,2.192,0.102,6.9,24.3,245,30750,1.991,0.266,0.685,0.057,0.029,53.7,5750,106.73
광주1,Jul-17,7,7.9,6.9,3.1,9.1,13.7,2.301,0.156,5.1,27.3,217,70750,2.113,0.378,0.881,0.119,0.095,14.2,29465,287.76
광주1,Aug-17,8,7.7,7.9,2.9,8.4,30.7,1.697,0.138,4.4,27.3,161,266500,1.54,0.237,0.738,0.098,0.081,24.1,208250,86.27
광주1,Sep-17,9,8,9.3,1.9,6.7,15.3,1.082,0.079,3.8,24.4,188,25550,0.978,0.043,0.508,0.053,0.04,37.4,8435,243.14
광주1,Oct-17,10,8.3,10.5,3,6.2,7.8,1.412,0.067,3.3,19,281,8000,1.253,0.049,0.685,0.035,0.022,46.3,3725,207.29
광주1,Nov-17,11,8.2,13.5,4.6,7.5,9.3,2.115,0.103,4.1,11.2,339,36650,1.947,0.402,0.878,0.04,0.018,58.2,19525,32.43
광주1,Dec-17,12,7.9,13.4,4.1,7.4,8.4,2.832,0.11,4.4,5.2,376,62750,2.555,0.227,1.711,0.039,0.018,43.1,12425,45.34
광주1,Jan-18,1,7.9,14.8,4.6,7.3,10.7,2.902,0.092,3.8,4.7,355,71250,2.627,0.174,1.587,0.033,0.012,53.8,8600,13.64
광주1,Feb-18,2,8.2,11.2,3.6,7.4,9.3,2.453,0.073,3.6,4.3,354,16450,2.294,0.129,1.429,0.036,0.013,40.2,988,43.76
광주1,Mar-18,3,7.4,11.6,3.6,8.5,19.8,2.838,0.122,4.8,12,263,65250,2.684,0.329,1.589,0.052,0.03,49.9,5203,7.99
광주1,Apr-18,4,7.9,10.9,3.5,8.1,21.7,2.285,0.115,4.2,15.9,229,40500,2.063,0.126,1.145,0.057,0.032,55.6,9900,9.05
광주1,May-18,5,7.9,10.4,3.5,8.8,31.6,2.297,0.124,5.1,21.2,215,90000,2.218,0.191,1.017,0.078,0.059,51,1898,37.53
광주1,Jun-18,6,7.8,9.3,3.2,10.2,22.2,1.731,0.105,5.8,25.6,251,14400,1.602,0.118,0.563,0.05,0.027,66,1313,38.62
광주1,Jul-18,7,7.7,10.3,2.7,9.1,31,1.676,0.139,4.5,26.8,182,13850,1.547,0.067,0.807,0.09,0.073,55.9,3132,217.9
광주1,Aug-18,8,8,8.8,2.6,7.9,17,1.054,0.14,4.4,28.7,176,7000,0.928,0.047,0.425,0.103,0.078,47.4,6125,261.09
광주1,Sep-18,9,7.8,8.9,0.8,4.8,7.3,1.855,0.101,2.9,24.7,175,7800,1.816,0.061,1.185,0.071,0.05,35.9,2417,109.23
광주1,Oct-18,10,8,12.4,2.8,6,9.6,1.893,0.1,3.6,17.7,283,11720,1.783,0.082,1.048,0.064,0.032,42.7,3380,79.99
광주1,Nov-18,11,7.9,15,3.3,6.1,9.4,1.993,0.104,3.8,11.3,289,22875,1.87,0.078,1.134,0.05,0.02,47.5,3020,3.01
광주1,Dec-18,12,7.8,9.7,2.9,5.3,6.8,2.922,0.102,3,6.6,294,33175,2.673,0.191,1.659,0.059,0.038,29.1,3538,30.54
