 Date,Chla,y_t+1,Chla_t-12,Chla_t-11,Chla_t-10,Chla_t-9,Chla_t-8,Chla_t-7,Chla_t-6,Chla_t-5,Chla_t-4,Chla_t-3,Chla_t-2,Chla_t-1,Chla_t-0
2018.02.19,100.2,64.3,65.4,42.9,30.1,19.1,70.8,24.9,42.1,80.8,67.2,67.3,51.1,64.5,100.2
2018.02.26,64.3,72.6,42.9,30.1,19.1,70.8,24.9,42.1,80.8,67.2,67.3,51.1,64.5,100.2,64.3
2018.03.05,72.6,67.8,30.1,19.1,70.8,24.9,42.1,80.8,67.2,67.3,51.1,64.5,100.2,64.3,72.6
2018.03.12,67.8,6.8,19.1,70.8,24.9,42.1,80.8,67.2,67.3,51.1,64.5,100.2,64.3,72.6,67.8
2018.03.19,6.8,20.4,70.8,24.9,42.1,80.8,67.2,67.3,51.1,64.5,100.2,64.3,72.6,67.8,6.8
2018.03.26,20.4,54.5,24.9,42.1,80.8,67.2,67.3,51.1,64.5,100.2,64.3,72.6,67.8,6.8,20.4
2018.04.02,54.5,24,42.1,80.8,67.2,67.3,51.1,64.5,100.2,64.3,72.6,67.8,6.8,20.4,54.5
2018.04.09,24,54.2,80.8,67.2,67.3,51.1,64.5,100.2,64.3,72.6,67.8,6.8,20.4,54.5,24
2018.04.16,54.2,32.9,67.2,67.3,51.1,64.5,100.2,64.3,72.6,67.8,6.8,20.4,54.5,24,54.2
2018.04.30,32.9,76.3,67.3,51.1,64.5,100.2,64.3,72.6,67.8,6.8,20.4,54.5,24,54.2,32.9
2018.05.08,76.3,50.5,51.1,64.5,100.2,64.3,72.6,67.8,6.8,20.4,54.5,24,54.2,32.9,76.3
2018.05.14,50.5,35.5,64.5,100.2,64.3,72.6,67.8,6.8,20.4,54.5,24,54.2,32.9,76.3,50.5
2018.05.21,35.5,28.6,100.2,64.3,72.6,67.8,6.8,20.4,54.5,24,54.2,32.9,76.3,50.5,35.5
2018.05.28,28.6,43.2,64.3,72.6,67.8,6.8,20.4,54.5,24,54.2,32.9,76.3,50.5,35.5,28.6
2018.06.04,43.2,21.3,72.6,67.8,6.8,20.4,54.5,24,54.2,32.9,76.3,50.5,35.5,28.6,43.2
2018.06.11,21.3,99.6,67.8,6.8,20.4,54.5,24,54.2,32.9,76.3,50.5,35.5,28.6,43.2,21.3
2018.06.18,99.6,35.8,6.8,20.4,54.5,24,54.2,32.9,76.3,50.5,35.5,28.6,43.2,21.3,99.6
2018.06.25,35.8,5.2,20.4,54.5,24,54.2,32.9,76.3,50.5,35.5,28.6,43.2,21.3,99.6,35.8
2018.07.02,5.2,13.3,54.5,24,54.2,32.9,76.3,50.5,35.5,28.6,43.2,21.3,99.6,35.8,5.2
2018.07.09,13.3,27.4,24,54.2,32.9,76.3,50.5,35.5,28.6,43.2,21.3,99.6,35.8,5.2,13.3
2018.07.16,27.4,156.1,54.2,32.9,76.3,50.5,35.5,28.6,43.2,21.3,99.6,35.8,5.2,13.3,27.4
2018.07.23,156.1,150.6,32.9,76.3,50.5,35.5,28.6,43.2,21.3,99.6,35.8,5.2,13.3,27.4,156.1
2018.07.30,150.6,174.7,76.3,50.5,35.5,28.6,43.2,21.3,99.6,35.8,5.2,13.3,27.4,156.1,150.6
2018.08.06,174.7,54.6,50.5,35.5,28.6,43.2,21.3,99.6,35.8,5.2,13.3,27.4,156.1,150.6,174.7
2018.08.13,54.6,85.3,35.5,28.6,43.2,21.3,99.6,35.8,5.2,13.3,27.4,156.1,150.6,174.7,54.6
2018.08.20,85.3,5.6,28.6,43.2,21.3,99.6,35.8,5.2,13.3,27.4,156.1,150.6,174.7,54.6,85.3
2018.08.28,5.6,2.6,43.2,21.3,99.6,35.8,5.2,13.3,27.4,156.1,150.6,174.7,54.6,85.3,5.6
2018.09.03,2.6,15.7,21.3,99.6,35.8,5.2,13.3,27.4,156.1,150.6,174.7,54.6,85.3,5.6,2.6
2018.09.10,15.7,54.3,99.6,35.8,5.2,13.3,27.4,156.1,150.6,174.7,54.6,85.3,5.6,2.6,15.7
2018.09.17,54.3,41.4,35.8,5.2,13.3,27.4,156.1,150.6,174.7,54.6,85.3,5.6,2.6,15.7,54.3
2018.09.27,41.4,72.8,5.2,13.3,27.4,156.1,150.6,174.7,54.6,85.3,5.6,2.6,15.7,54.3,41.4
2018.10.01,72.8,6.2,13.3,27.4,156.1,150.6,174.7,54.6,85.3,5.6,2.6,15.7,54.3,41.4,72.8
2018.10.08,6.2,27.3,27.4,156.1,150.6,174.7,54.6,85.3,5.6,2.6,15.7,54.3,41.4,72.8,6.2
2018.10.15,27.3,26.3,156.1,150.6,174.7,54.6,85.3,5.6,2.6,15.7,54.3,41.4,72.8,6.2,27.3
2018.10.22,26.3,36.2,150.6,174.7,54.6,85.3,5.6,2.6,15.7,54.3,41.4,72.8,6.2,27.3,26.3
2018.10.29,36.2,31.8,174.7,54.6,85.3,5.6,2.6,15.7,54.3,41.4,72.8,6.2,27.3,26.3,36.2
2018.11.05,31.8,36.9,54.6,85.3,5.6,2.6,15.7,54.3,41.4,72.8,6.2,27.3,26.3,36.2,31.8
2018.11.12,36.9,73.2,85.3,5.6,2.6,15.7,54.3,41.4,72.8,6.2,27.3,26.3,36.2,31.8,36.9
2018.11.19,73.2,85.5,5.6,2.6,15.7,54.3,41.4,72.8,6.2,27.3,26.3,36.2,31.8,36.9,73.2
2018.11.26,85.5,77.5,2.6,15.7,54.3,41.4,72.8,6.2,27.3,26.3,36.2,31.8,36.9,73.2,85.5
2018.12.03,77.5,74,15.7,54.3,41.4,72.8,6.2,27.3,26.3,36.2,31.8,36.9,73.2,85.5,77.5
2018.12.10,74,45.8,54.3,41.4,72.8,6.2,27.3,26.3,36.2,31.8,36.9,73.2,85.5,77.5,74
2018.12.17,45.8,51.3,41.4,72.8,6.2,27.3,26.3,36.2,31.8,36.9,73.2,85.5,77.5,74,45.8
2018.12.24,51.3,31.4,72.8,6.2,27.3,26.3,36.2,31.8,36.9,73.2,85.5,77.5,74,45.8,51.3
2019.01.07,31.4,44.7,6.2,27.3,26.3,36.2,31.8,36.9,73.2,85.5,77.5,74,45.8,51.3,31.4
2019.01.14,44.7,32.4,27.3,26.3,36.2,31.8,36.9,73.2,85.5,77.5,74,45.8,51.3,31.4,44.7
2019.01.21,32.4,59.6,26.3,36.2,31.8,36.9,73.2,85.5,77.5,74,45.8,51.3,31.4,44.7,32.4
2019.01.28,59.6,99,36.2,31.8,36.9,73.2,85.5,77.5,74,45.8,51.3,31.4,44.7,32.4,59.6
