p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,Rain,logTC,logFC
7.0 ,7.8 ,267.6 ,23.3 ,3.6 ,9.1 ,6.8 ,10.0 ,13.0 ,2.624 ,0.134 ,0.323 ,0.067 ,4.959 ,96.1 ,3.1976 ,2.3340 
7.2 ,7.7 ,237.3 ,26.0 ,2.0 ,6.4 ,5.0 ,17.6 ,8.0 ,2.241 ,0.125 ,0.074 ,0.040 ,9.366 ,164.3 ,3.3249 ,2.5438 
7.0 ,7.7 ,231.0 ,26.2 ,2.0 ,5.4 ,4.3 ,7.9 ,7.6 ,1.403 ,0.110 ,0.063 ,0.045 ,6.264 ,141.2 ,3.4573 ,2.6567 
7.2 ,8.4 ,289.5 ,21.8 ,1.3 ,5.1 ,4.3 ,4.9 ,4.2 ,1.276 ,0.086 ,0.062 ,0.034 ,4.607 ,66.6 ,3.3586 ,2.5319 
7.1 ,9.0 ,298.0 ,18.2 ,1.7 ,5.7 ,5.8 ,5.4 ,5.7 ,1.596 ,0.090 ,0.126 ,0.046 ,4.505 ,90.9 ,3.8252 ,2.8243 
7.0 ,9.7 ,293.5 ,13.5 ,2.3 ,6.2 ,5.1 ,10.1 ,5.2 ,2.306 ,0.113 ,0.304 ,0.064 ,5.923 ,121.9 ,3.7548 ,2.7376 
7.0 ,12.3 ,301.2 ,7.3 ,1.5 ,4.2 ,2.0 ,3.1 ,2.3 ,2.745 ,0.066 ,0.183 ,0.029 ,6.722 ,59.2 ,3.7825 ,2.3178 
7.5 ,12.3 ,317.3 ,4.7 ,1.5 ,3.5 ,3.8 ,5.1 ,4.1 ,3.025 ,0.059 ,0.236 ,0.018 ,3.479 ,49.7 ,3.3612 ,1.8730 
7.1 ,13.5 ,270.5 ,4.7 ,2.1 ,4.5 ,4.3 ,6.7 ,8.6 ,2.744 ,0.073 ,0.248 ,0.031 ,7.489 ,45.2 ,3.6749 ,2.4739 
7.2 ,12.0 ,287.2 ,9.0 ,2.7 ,5.6 ,4.8 ,14.9 ,15.1 ,2.506 ,0.096 ,0.181 ,0.024 ,6.155 ,55.2 ,3.5447 ,1.6419 
7.3 ,10.1 ,254.5 ,16.0 ,3.0 ,6.6 ,5.1 ,31.6 ,16.9 ,1.907 ,0.108 ,0.140 ,0.022 ,9.168 ,185.0 ,3.2676 ,2.2415 
7.1 ,11.2 ,263.8 ,19.8 ,1.9 ,5.6 ,4.6 ,13.1 ,11.3 ,1.773 ,0.092 ,0.121 ,0.039 ,7.687 ,108.1 ,3.5452 ,2.3636 
6.9 ,6.9 ,242.8 ,23.5 ,2.6 ,8.0 ,7.0 ,7.7 ,12.6 ,2.377 ,0.119 ,0.249 ,0.063 ,7.129 ,116.1 ,3.5011 ,2.4063 
7.1 ,7.9 ,203.8 ,26.1 ,2.4 ,5.7 ,5.4 ,20.7 ,11.8 ,1.852 ,0.119 ,0.089 ,0.058 ,8.501 ,301.3 ,3.9495 ,3.0127 
7.0 ,7.3 ,285.8 ,27.8 ,2.4 ,7.1 ,5.7 ,19.4 ,8.2 ,1.152 ,0.109 ,0.071 ,0.035 ,6.257 ,81.0 ,3.1116 ,2.2928 
7.3 ,8.2 ,204.3 ,22.9 ,1.8 ,6.4 ,4.8 ,7.9 ,8.7 ,1.725 ,0.098 ,0.162 ,0.048 ,16.274 ,251.2 ,4.0243 ,2.8478 
7.3 ,8.7 ,189.8 ,18.7 ,1.2 ,5.2 ,3.9 ,3.8 ,8.6 ,2.114 ,0.097 ,0.076 ,0.057 ,14.034 ,216.7 ,4.2979 ,3.0822 
7.6 ,10.6 ,322.8 ,11.8 ,1.4 ,4.4 ,3.9 ,9.6 ,3.9 ,2.209 ,0.094 ,0.060 ,0.048 ,3.671 ,31.5 ,3.9243 ,2.0419 
7.8 ,12.3 ,355.8 ,6.1 ,1.3 ,3.9 ,3.5 ,8.6 ,3.3 ,2.573 ,0.056 ,0.077 ,0.020 ,3.439 ,44.9 ,3.9268 ,2.2526 
7.4 ,11.6 ,326.8 ,3.8 ,1.5 ,4.3 ,3.3 ,7.3 ,4.2 ,2.898 ,0.079 ,0.224 ,0.029 ,3.230 ,11.7 ,3.2149 ,2.1912 
7.8 ,12.5 ,307.0 ,4.8 ,1.8 ,4.5 ,3.5 ,8.5 ,5.6 ,2.929 ,0.086 ,0.222 ,0.041 ,3.538 ,41.9 ,3.0652 ,2.1305 
7.7 ,13.6 ,366.3 ,10.1 ,4.0 ,6.6 ,5.8 ,42.5 ,13.4 ,2.255 ,0.091 ,0.062 ,0.014 ,2.810 ,33.2 ,2.8150 ,1.9225 
8.5 ,11.4 ,329.0 ,15.9 ,5.9 ,11.0 ,7.8 ,110.6 ,18.1 ,1.422 ,0.109 ,0.024 ,0.006 ,2.707 ,59.9 ,3.1114 ,1.9217 
7.8 ,10.9 ,363.8 ,20.6 ,5.8 ,13.4 ,9.1 ,71.4 ,21.2 ,1.626 ,0.138 ,0.124 ,0.010 ,2.093 ,30.2 ,2.5145 ,1.6592 
6.9 ,7.3 ,332.3 ,23.7 ,3.9 ,12.7 ,9.5 ,32.0 ,12.9 ,2.142 ,0.121 ,0.286 ,0.026 ,3.473 ,42.1 ,3.0368 ,2.4333 
7.3 ,6.6 ,225.3 ,26.9 ,2.3 ,8.4 ,6.2 ,14.1 ,10.3 ,1.971 ,0.118 ,0.162 ,0.047 ,10.418 ,211.6 ,3.6860 ,3.0661 
7.3 ,7.5 ,183.3 ,26.5 ,2.5 ,7.1 ,5.3 ,20.4 ,21.5 ,1.404 ,0.112 ,0.091 ,0.064 ,31.665 ,280.5 ,3.7525 ,2.9194 
7.2 ,8.4 ,220.5 ,22.4 ,1.7 ,5.8 ,4.5 ,10.7 ,6.7 ,1.412 ,0.080 ,0.038 ,0.041 ,12.089 ,108.8 ,3.6349 ,2.7986 
7.8 ,11.6 ,346.3 ,17.2 ,1.6 ,5.5 ,4.2 ,17.9 ,3.7 ,1.813 ,0.071 ,0.092 ,0.030 ,3.390 ,85.4 ,3.2638 ,2.1969 
7.9 ,11.9 ,493.3 ,8.8 ,4.1 ,7.3 ,6.0 ,77.5 ,9.9 ,1.917 ,0.070 ,0.192 ,0.006 ,2.222 ,2.1 ,2.8482 ,1.8242 
7.4 ,12.7 ,362.8 ,4.2 ,3.3 ,5.9 ,5.0 ,49.1 ,7.5 ,2.720 ,0.067 ,0.269 ,0.005 ,2.623 ,28.5 ,3.2791 ,2.6826 
8.0 ,12.1 ,327.8 ,3.3 ,2.9 ,5.6 ,4.5 ,34.1 ,6.7 ,2.627 ,0.072 ,0.246 ,0.012 ,2.826 ,38.8 ,3.5178 ,2.6551 
8.2 ,9.5 ,439.5 ,4.0 ,3.2 ,5.8 ,4.5 ,46.8 ,7.7 ,2.659 ,0.095 ,0.075 ,0.012 ,2.310 ,22.0 ,2.9669 ,2.3761 
7.2 ,10.7 ,261.0 ,11.0 ,3.5 ,7.4 ,5.5 ,34.2 ,15.6 ,2.590 ,0.108 ,0.202 ,0.028 ,11.389 ,115.8 ,3.9236 ,2.8099 
7.6 ,9.8 ,272.2 ,15.6 ,2.5 ,6.6 ,5.0 ,35.7 ,9.2 ,2.231 ,0.094 ,0.064 ,0.023 ,6.176 ,127.4 ,3.4690 ,2.2952 
7.4 ,9.2 ,253.3 ,20.2 ,2.7 ,7.2 ,5.9 ,15.9 ,11.6 ,2.233 ,0.131 ,0.252 ,0.058 ,7.879 ,85.4 ,3.6692 ,2.5952 
7.1 ,6.9 ,255.0 ,24.7 ,2.9 ,10.8 ,8.5 ,13.9 ,8.7 ,1.858 ,0.115 ,0.120 ,0.050 ,5.507 ,222.4 ,3.3788 ,2.4170 
7.5 ,8.0 ,276.4 ,27.3 ,3.6 ,9.6 ,6.8 ,29.7 ,13.8 ,1.626 ,0.125 ,0.039 ,0.074 ,26.962 ,84.5 ,3.3554 ,2.4421 
