p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,logTC,logFC
6.9 ,7.5 ,208 ,16.5 ,2.3 ,5.9 ,3.6 ,12.4 ,6.8 ,2.606 ,0.103 ,0.516 ,0.080 ,17.625 ,3.4771 ,2.7782 
7.2 ,8.1 ,338 ,15.0 ,3.5 ,7.4 ,5.2 ,21.0 ,4.2 ,5.749 ,0.137 ,2.077 ,0.101 ,10.819 ,3.7924 ,2.9494 
7.2 ,8.9 ,374 ,14.2 ,3.2 ,6.4 ,3.8 ,24.1 ,5.2 ,5.598 ,0.086 ,1.214 ,0.049 ,22.882 ,3.4150 ,2.5911 
7.3 ,7.7 ,315 ,10.8 ,3.0 ,6.7 ,3.8 ,14.1 ,6.1 ,4.876 ,0.154 ,1.858 ,0.116 ,20.993 ,3.9542 ,2.9191 
7.5 ,11.7 ,378 ,9.3 ,2.3 ,5.8 ,3.3 ,14.8 ,5.9 ,5.090 ,0.071 ,1.576 ,0.027 ,14.854 ,3.7924 ,2.0792 
7.6 ,11.1 ,283 ,8.1 ,2.7 ,6.4 ,3.6 ,23.9 ,7.1 ,5.902 ,0.080 ,1.664 ,0.024 ,13.771 ,3.1206 ,1.9031 
7.1 ,11.6 ,420 ,4.5 ,4.5 ,7.4 ,3.9 ,14.0 ,8.1 ,5.557 ,0.186 ,2.011 ,0.098 ,15.264 ,4.1818 ,2.7160 
7.3 ,11.1 ,324 ,6.8 ,3.4 ,6.4 ,3.8 ,6.0 ,14.6 ,4.011 ,0.117 ,1.011 ,0.075 ,32.285 ,4.0934 ,3.9731 
7.1 ,14.4 ,335 ,3.7 ,3.3 ,6.1 ,3.3 ,3.5 ,8.2 ,5.258 ,0.165 ,2.019 ,0.105 ,19.292 ,4.2148 ,3.1139 
7.1 ,10.8 ,439 ,3.1 ,3.1 ,6.4 ,4.2 ,4.1 ,4.6 ,6.424 ,0.159 ,2.578 ,0.112 ,15.764 ,3.7924 ,2.4472 
7.3 ,11.7 ,442 ,3.4 ,3.0 ,6.5 ,4.6 ,4.9 ,3.0 ,7.325 ,0.123 ,3.473 ,0.083 ,12.694 ,3.5798 ,1.3802 
6.6 ,12.2 ,433 ,4.3 ,3.6 ,7.2 ,4.7 ,12.1 ,4.5 ,7.663 ,0.133 ,3.612 ,0.086 ,12.528 ,3.1461 ,1.5051 
7.1 ,10.6 ,398 ,5.9 ,4.1 ,8.2 ,5.6 ,17.3 ,10.4 ,7.319 ,0.172 ,3.977 ,0.107 ,25.750 ,4.1206 ,3.0414 
7.3 ,13.1 ,374 ,3.3 ,3.7 ,8.5 ,4.8 ,23.0 ,6.5 ,5.817 ,0.112 ,2.518 ,0.078 ,16.792 ,3.7924 ,2.0569 
7.2 ,9.9 ,249 ,5.8 ,4.9 ,5.9 ,5.3 ,5.8 ,16.0 ,4.813 ,0.168 ,1.863 ,0.125 ,56.590 ,4.8692 ,3.8692 
7.2 ,11.9 ,294 ,3.2 ,4.1 ,7.2 ,4.4 ,2.6 ,8.4 ,5.590 ,0.152 ,2.679 ,0.109 ,20.486 ,4.1761 ,3.1761 
7.2 ,10.8 ,305 ,5.3 ,2.2 ,5.8 ,4.0 ,4.1 ,4.5 ,5.937 ,0.131 ,2.963 ,0.085 ,26.243 ,4.0170 ,1.7782 
7.2 ,11.5 ,274 ,5.6 ,1.8 ,5.7 ,3.8 ,5.5 ,4.0 ,4.445 ,0.090 ,2.083 ,0.056 ,20.458 ,3.6812 ,0.7782 
7.2 ,13.5 ,376 ,9.2 ,5.7 ,10.5 ,6.5 ,96.4 ,11.3 ,6.290 ,0.208 ,3.452 ,0.013 ,10.118 ,3.1139 ,1.0000 
8.2 ,14.7 ,386 ,13.3 ,6.5 ,12.9 ,7.0 ,80.7 ,11.2 ,8.265 ,0.180 ,4.130 ,0.009 ,9.500 ,3.9638 ,2.5563 
7.1 ,8.8 ,210 ,13.2 ,6.7 ,11.3 ,5.7 ,23.6 ,37.0 ,3.866 ,0.169 ,1.128 ,0.100 ,93.500 ,4.8808 ,4.2553 
7.6 ,12.6 ,300 ,12.9 ,3.9 ,6.9 ,5.3 ,46.9 ,8.0 ,5.522 ,0.113 ,2.874 ,0.048 ,15.521 ,3.1461 ,2.1206 
7.6 ,12.9 ,362 ,13.4 ,5.5 ,9.4 ,6.0 ,64.0 ,13.0 ,7.772 ,0.074 ,4.561 ,0.008 ,11.896 ,2.8325 ,1.4150 
8.0 ,10.0 ,327 ,12.0 ,5.4 ,8.9 ,5.7 ,77.4 ,12.5 ,6.291 ,0.118 ,3.538 ,0.037 ,15.924 ,3.6902 ,2.7160 
7.8 ,11.8 ,393 ,15.4 ,5.9 ,12.2 ,5.5 ,84.9 ,11.9 ,7.963 ,0.071 ,4.079 ,0.004 ,10.493 ,2.1139 ,0.3010 
7.1 ,5.5 ,369 ,17.3 ,3.6 ,8.1 ,5.4 ,7.7 ,2.9 ,6.978 ,0.138 ,4.046 ,0.082 ,20.597 ,4.2788 ,3.4914 
8.4 ,16.3 ,323 ,20.3 ,5.1 ,11.8 ,6.0 ,48.8 ,7.8 ,5.416 ,0.054 ,2.892 ,0.006 ,10.931 ,2.6532 ,1.7160 
8.1 ,10.4 ,349 ,23.2 ,7.6 ,14.7 ,6.5 ,96.1 ,12.0 ,5.801 ,0.162 ,3.281 ,0.077 ,4.778 ,4.0000 ,2.7404 
7.6 ,8.4 ,354 ,22.8 ,6.5 ,12.0 ,7.4 ,101.0 ,13.1 ,5.975 ,0.316 ,3.730 ,0.228 ,20.764 ,3.9731 ,3.1461 
7.2 ,5.7 ,394 ,22.2 ,6.2 ,12.1 ,6.7 ,40.7 ,11.2 ,6.853 ,0.435 ,4.780 ,0.387 ,90.500 ,4.1644 ,3.3424 
7.1 ,8.9 ,270 ,23.0 ,5.8 ,11.7 ,6.1 ,87.3 ,12.5 ,5.311 ,0.149 ,2.027 ,0.087 ,23.375 ,4.0492 ,3.2672 
7.5 ,8.3 ,329 ,25.5 ,5.3 ,10.7 ,6.2 ,61.7 ,11.8 ,5.578 ,0.151 ,2.830 ,0.063 ,22.160 ,3.7324 ,3.2304 
7.2 ,7.2 ,309 ,25.5 ,5.4 ,11.6 ,6.4 ,88.7 ,12.1 ,4.955 ,0.143 ,2.427 ,0.031 ,38.444 ,4.6232 ,4.2900 
7.1 ,6.3 ,297 ,25.7 ,4.7 ,10.6 ,6.9 ,30.7 ,10.6 ,5.391 ,0.199 ,2.735 ,0.143 ,34.938 ,4.3802 ,3.8573 
7.4 ,7.5 ,360 ,27.2 ,4.2 ,9.2 ,6.1 ,45.0 ,7.6 ,4.753 ,0.138 ,1.680 ,0.034 ,20.000 ,2.0792 ,2.0492 
7.2 ,7.6 ,122 ,23.6 ,2.8 ,6.0 ,4.2 ,2.5 ,26.5 ,2.614 ,0.162 ,0.390 ,0.096 ,255.464 ,4.9243 ,4.0719 
7.5 ,7.7 ,288 ,28.2 ,4.0 ,6.6 ,5.0 ,38.7 ,8.5 ,3.583 ,0.120 ,0.779 ,0.058 ,23.654 ,3.3222 ,2.8573 
7.9 ,7.9 ,291 ,28.6 ,6.1 ,8.6 ,5.5 ,82.8 ,17.3 ,3.986 ,0.123 ,1.114 ,0.004 ,28.481 ,2.4472 ,2.3802 
7.0 ,4.8 ,244 ,27.7 ,4.4 ,7.1 ,4.9 ,28.6 ,11.6 ,3.479 ,0.161 ,1.393 ,0.089 ,52.021 ,4.5051 ,4.0212 
7.6 ,6.4 ,267 ,29.2 ,6.6 ,10.8 ,5.4 ,98.7 ,11.7 ,4.218 ,0.226 ,1.828 ,0.118 ,76.875 ,4.2304 ,3.8751 
8.5 ,8.1 ,270 ,32.5 ,6.3 ,11.0 ,6.9 ,70.9 ,14.8 ,3.254 ,0.208 ,1.015 ,0.094 ,16.368 ,2.8451 ,2.3424 
7.9 ,7.6 ,330 ,31.2 ,3.1 ,8.7 ,5.3 ,45.3 ,7.2 ,4.206 ,0.140 ,2.073 ,0.076 ,20.361 ,1.7634 ,1.5563 
6.8 ,6.1 ,132 ,26.2 ,1.5 ,6.6 ,4.2 ,2.6 ,8.6 ,2.698 ,0.153 ,0.496 ,0.132 ,75.507 ,3.9345 ,3.8062 
6.9 ,6.5 ,214 ,25.4 ,3.1 ,6.0 ,4.6 ,41.7 ,7.1 ,3.468 ,0.160 ,0.865 ,0.088 ,27.792 ,3.3555 ,2.9731 
8.0 ,8.5 ,255 ,24.6 ,4.3 ,8.2 ,5.0 ,81.1 ,6.3 ,3.700 ,0.143 ,0.830 ,0.023 ,24.563 ,3.8062 ,3.1399 
7.1 ,6.5 ,191 ,24.5 ,3.1 ,5.8 ,4.9 ,24.1 ,5.7 ,2.853 ,0.164 ,0.741 ,0.115 ,32.972 ,4.1875 ,3.9243 
9.0 ,12.5 ,267 ,26.6 ,5.2 ,7.9 ,4.2 ,50.4 ,7.5 ,3.481 ,0.107 ,0.584 ,0.013 ,19.139 ,2.0212 ,1.7924 
7.6 ,7.9 ,324 ,23.3 ,4.7 ,7.1 ,4.7 ,48.2 ,7.2 ,3.941 ,0.069 ,0.793 ,0.010 ,19.882 ,3.1761 ,2.3010 
7.1 ,9.8 ,346 ,22.6 ,3.5 ,7.0 ,4.5 ,69.0 ,8.2 ,4.705 ,0.063 ,1.097 ,0.003 ,23.292 ,2.9699 ,2.2601 
7.0 ,8.4 ,348 ,21.8 ,3.6 ,6.9 ,5.1 ,44.0 ,13.8 ,5.654 ,0.164 ,1.821 ,0.060 ,15.771 ,3.6232 ,2.8388 
7.6 ,10.9 ,360 ,19.1 ,4.0 ,8.3 ,5.1 ,83.2 ,8.7 ,5.818 ,0.077 ,0.987 ,0.006 ,14.750 ,1.8751 ,1.6435 
8.2 ,10.6 ,406 ,16.6 ,4.3 ,7.5 ,5.2 ,57.1 ,10.1 ,5.489 ,0.059 ,1.032 ,0.001 ,10.667 ,2.2041 ,1.6990 
7.3 ,9.8 ,429 ,16.9 ,4.5 ,6.9 ,4.8 ,56.5 ,9.0 ,6.775 ,0.093 ,1.276 ,0.004 ,11.549 ,2.0969 ,1.9031 
7.9 ,10.0 ,380 ,13.7 ,5.4 ,7.0 ,5.2 ,35.5 ,12.9 ,4.924 ,0.110 ,1.184 ,0.015 ,14.222 ,3.8062 ,2.8062 
7.8 ,12.0 ,533 ,11.6 ,7.4 ,7.8 ,5.6 ,92.8 ,13.5 ,5.523 ,0.108 ,1.381 ,0.002 ,16.299 ,3.6435 ,2.6812 
7.7 ,9.9 ,192 ,9.8 ,6.6 ,7.2 ,5.8 ,17.4 ,20.5 ,6.671 ,0.153 ,1.391 ,0.104 ,24.535 ,4.8325 ,3.9243 
7.2 ,10.1 ,449 ,8.0 ,4.9 ,6.8 ,5.2 ,16.2 ,5.9 ,5.604 ,0.211 ,2.091 ,0.147 ,18.083 ,3.8451 ,2.9542 
7.5 ,10.7 ,480 ,8.7 ,4.8 ,6.0 ,4.8 ,19.4 ,7.1 ,6.198 ,0.097 ,2.279 ,0.020 ,11.993 ,3.7634 ,3.1139 
7.4 ,12.1 ,478 ,7.2 ,3.6 ,6.6 ,5.4 ,9.6 ,5.8 ,7.072 ,0.116 ,2.351 ,0.048 ,15.000 ,3.1584 ,1.8325 
7.4 ,11.9 ,483 ,6.3 ,2.9 ,6.9 ,5.0 ,3.3 ,5.8 ,7.303 ,0.086 ,2.499 ,0.014 ,14.826 ,2.4150 ,0.7782 
7.3 ,14.7 ,429 ,6.2 ,3.3 ,6.7 ,4.8 ,12.0 ,6.9 ,7.827 ,0.088 ,3.600 ,0.007 ,12.069 ,2.6812 ,1.0792 
7.5 ,12.2 ,492 ,5.2 ,3.7 ,6.9 ,4.6 ,32.6 ,6.9 ,8.551 ,0.077 ,3.564 ,0.003 ,10.958 ,2.3617 ,0.7782 
7.7 ,14.8 ,514 ,5.3 ,3.9 ,7.0 ,5.4 ,28.3 ,9.7 ,8.706 ,0.093 ,4.607 ,0.006 ,11.271 ,2.3222 ,1.2553 
7.6 ,11.4 ,503 ,6.3 ,4.5 ,7.4 ,4.4 ,32.1 ,8.8 ,9.274 ,0.112 ,4.593 ,0.006 ,11.167 ,2.6628 ,0.9031 
7.5 ,12.2 ,508 ,8.0 ,7.8 ,9.5 ,7.1 ,73.5 ,21.9 ,9.890 ,0.180 ,5.093 ,0.023 ,8.896 ,2.7482 ,1.9731 
7.8 ,11.5 ,473 ,6.0 ,7.4 ,9.2 ,6.3 ,79.1 ,13.0 ,10.957 ,0.133 ,6.012 ,0.006 ,8.882 ,2.5682 ,1.5563 
7.5 ,12.9 ,430 ,7.7 ,5.4 ,10.2 ,7.9 ,52.9 ,11.9 ,9.746 ,0.117 ,6.276 ,0.007 ,9.646 ,2.6232 ,1.0792 
7.6 ,12.5 ,517 ,8.5 ,5.4 ,10.8 ,7.3 ,24.2 ,13.5 ,9.186 ,0.106 ,5.810 ,0.002 ,9.993 ,2.7709 ,1.5051 
7.0 ,9.1 ,526 ,10.2 ,5.1 ,9.4 ,7.4 ,21.5 ,9.0 ,9.795 ,0.137 ,6.980 ,0.018 ,9.549 ,3.7160 ,2.0334 
7.8 ,11.9 ,509 ,8.8 ,8.3 ,11.9 ,9.7 ,66.8 ,13.7 ,9.205 ,0.252 ,5.607 ,0.067 ,10.306 ,2.4265 ,1.6435 
7.3 ,7.8 ,363 ,11.1 ,7.3 ,8.3 ,7.7 ,33.8 ,11.5 ,5.368 ,0.210 ,2.849 ,0.042 ,13.715 ,4.1461 ,2.8573 
8.2 ,12.2 ,428 ,11.6 ,7.2 ,12.9 ,8.7 ,91.0 ,10.1 ,6.823 ,0.129 ,3.686 ,0.031 ,9.028 ,2.8388 ,1.6435 
7.1 ,4.6 ,348 ,15.9 ,7.3 ,8.3 ,6.1 ,24.5 ,22.0 ,5.182 ,0.243 ,2.853 ,0.121 ,17.458 ,3.8921 ,2.3617 
7.7 ,8.7 ,397 ,14.7 ,5.4 ,6.5 ,5.2 ,51.1 ,7.6 ,5.486 ,0.103 ,2.632 ,0.012 ,9.694 ,2.7993 ,1.4771 
7.4 ,9.5 ,456 ,16.8 ,9.0 ,10.7 ,6.8 ,52.7 ,9.0 ,6.809 ,0.078 ,3.089 ,0.011 ,10.743 ,2.8808 ,2.5119 
7.3 ,7.1 ,490 ,17.3 ,8.1 ,11.4 ,7.8 ,76.7 ,15.8 ,6.394 ,0.138 ,3.026 ,0.017 ,11.424 ,3.6990 ,2.4150 
7.5 ,7.7 ,446 ,18.0 ,5.4 ,8.4 ,6.7 ,58.6 ,7.7 ,6.135 ,0.117 ,3.252 ,0.035 ,25.688 ,4.3979 ,3.6435 
7.6 ,9.9 ,388 ,18.7 ,5.2 ,7.3 ,6.4 ,46.4 ,9.0 ,4.673 ,0.107 ,1.745 ,0.023 ,11.410 ,2.4472 ,1.5051 
7.6 ,10.0 ,422 ,19.9 ,7.7 ,10.6 ,8.3 ,91.2 ,21.9 ,5.829 ,0.161 ,2.871 ,0.014 ,63.917 ,4.5502 ,3.7160 
7.8 ,8.5 ,359 ,22.1 ,6.1 ,11.0 ,7.8 ,64.0 ,12.1 ,4.720 ,0.120 ,1.670 ,0.014 ,22.201 ,2.5441 ,1.6628 
7.3 ,10.8 ,359 ,22.8 ,7.0 ,11.0 ,6.9 ,85.2 ,18.5 ,5.001 ,0.207 ,2.336 ,0.046 ,10.792 ,3.1461 ,1.7404 
7.5 ,7.6 ,362 ,24.1 ,4.7 ,9.1 ,8.1 ,74.9 ,13.4 ,4.482 ,0.156 ,1.999 ,0.030 ,24.229 ,2.2553 ,1.4771 
8.0 ,9.8 ,273 ,24.6 ,5.1 ,9.1 ,7.6 ,62.7 ,13.1 ,4.082 ,0.101 ,1.191 ,0.006 ,18.785 ,2.3617 ,1.6990 
8.2 ,11.2 ,322 ,24.7 ,5.2 ,8.6 ,7.2 ,50.8 ,11.2 ,5.045 ,0.128 ,2.748 ,0.041 ,13.174 ,3.9138 ,3.0492 
7.4 ,8.7 ,394 ,25.2 ,5.3 ,11.0 ,9.3 ,53.3 ,16.1 ,5.687 ,0.111 ,2.818 ,0.007 ,15.688 ,2.6021 ,1.6990 
8.3 ,10.3 ,378 ,26.3 ,5.8 ,10.9 ,6.4 ,69.3 ,11.3 ,5.605 ,0.167 ,2.849 ,0.043 ,9.431 ,1.6990 ,0.9031 
7.0 ,3.5 ,321 ,23.4 ,6.1 ,9.6 ,7.7 ,64.4 ,12.9 ,4.263 ,0.245 ,2.056 ,0.110 ,50.806 ,4.4232 ,3.8451 
7.7 ,8.4 ,318 ,26.8 ,5.4 ,9.5 ,6.4 ,50.2 ,8.5 ,4.986 ,0.196 ,2.811 ,0.095 ,17.271 ,2.7924 ,1.9031 
7.1 ,5.9 ,151 ,25.6 ,2.0 ,6.8 ,4.3 ,7.4 ,14.6 ,2.624 ,0.173 ,0.390 ,0.123 ,53.208 ,4.3424 ,3.7634 
8.1 ,7.5 ,307 ,28.0 ,6.7 ,10.2 ,6.7 ,99.5 ,16.6 ,4.568 ,0.159 ,1.448 ,0.018 ,171.278 ,2.5315 ,2.2553 
7.0 ,7.6 ,176 ,25.0 ,3.8 ,6.2 ,4.5 ,7.3 ,9.0 ,3.153 ,0.217 ,1.175 ,0.151 ,88.299 ,4.6721 ,4.3118 
7.5 ,7.3 ,214 ,26.5 ,5.2 ,9.0 ,5.0 ,41.4 ,15.0 ,3.021 ,0.144 ,0.507 ,0.007 ,25.708 ,3.7634 ,3.2900 
7.2 ,7.8 ,98 ,22.9 ,2.9 ,6.1 ,4.0 ,1.8 ,51.7 ,2.423 ,0.232 ,0.341 ,0.088 ,249.299 ,5.1761 ,4.7482 
6.7 ,7.1 ,120 ,23.1 ,2.7 ,6.6 ,4.5 ,3.2 ,43.1 ,2.315 ,0.285 ,0.313 ,0.119 ,258.653 ,5.1004 ,4.5315 
7.5 ,8.0 ,218 ,24.7 ,3.9 ,6.3 ,3.7 ,12.0 ,7.7 ,3.408 ,0.135 ,0.660 ,0.055 ,30.326 ,4.3010 ,3.7853 
7.2 ,8.2 ,301 ,25.5 ,4.2 ,6.5 ,5.4 ,22.4 ,8.7 ,3.942 ,0.132 ,1.087 ,0.024 ,15.132 ,3.0414 ,2.0792 
7.5 ,10.3 ,317 ,25.0 ,4.9 ,8.1 ,6.0 ,20.6 ,6.8 ,4.355 ,0.117 ,1.392 ,0.029 ,26.243 ,3.9345 ,3.3522 
7.7 ,11.4 ,314 ,23.8 ,3.9 ,6.6 ,5.4 ,44.3 ,11.1 ,3.543 ,0.083 ,0.402 ,0.014 ,23.563 ,2.3010 ,1.7404 
6.9 ,4.9 ,258 ,23.3 ,4.3 ,7.6 ,5.2 ,9.1 ,8.5 ,3.789 ,0.175 ,1.129 ,0.109 ,24.319 ,3.8062 ,3.3892 
7.9 ,13.8 ,324 ,21.8 ,5.0 ,7.1 ,4.6 ,27.0 ,13.2 ,3.698 ,0.118 ,0.436 ,0.015 ,22.569 ,3.0492 ,2.8692 
7.4 ,10.1 ,344 ,20.1 ,3.9 ,5.9 ,5.0 ,4.6 ,9.8 ,3.808 ,0.075 ,0.407 ,0.015 ,10.681 ,2.8692 ,2.6021 
7.4 ,7.6 ,420 ,19.2 ,5.0 ,7.3 ,5.2 ,5.8 ,7.4 ,6.241 ,0.093 ,1.622 ,0.029 ,31.993 ,4.8062 ,4.4983 
6.7 ,6.7 ,238 ,17.9 ,3.8 ,7.1 ,5.0 ,11.1 ,7.7 ,3.285 ,0.158 ,0.961 ,0.107 ,21.250 ,3.8573 ,3.1004 
7.5 ,7.6 ,279 ,14.8 ,3.9 ,6.1 ,4.9 ,39.4 ,11.1 ,3.597 ,0.137 ,0.937 ,0.052 ,19.243 ,4.1271 ,3.3010 
7.6 ,13.6 ,377 ,14.2 ,4.3 ,7.4 ,4.9 ,70.8 ,13.5 ,4.530 ,0.113 ,0.788 ,0.006 ,14.819 ,3.6435 ,2.7482 
7.6 ,13.5 ,392 ,11.9 ,4.9 ,6.6 ,5.1 ,50.4 ,11.3 ,5.628 ,0.091 ,1.475 ,0.018 ,14.347 ,3.5798 ,3.0000 
7.0 ,11.1 ,392 ,12.1 ,3.1 ,5.9 ,4.5 ,28.6 ,5.7 ,6.013 ,0.057 ,1.959 ,0.017 ,113.417 ,2.7404 ,1.4771 
7.2 ,7.8 ,302 ,9.7 ,2.8 ,5.0 ,4.6 ,5.4 ,6.0 ,4.238 ,0.174 ,1.671 ,0.129 ,34.951 ,4.5563 ,3.9542 
6.7 ,9.7 ,402 ,6.8 ,3.9 ,5.1 ,4.0 ,2.2 ,6.1 ,4.671 ,0.169 ,1.944 ,0.149 ,26.014 ,4.5855 ,4.0334 
7.2 ,10.6 ,442 ,6.0 ,1.8 ,3.7 ,3.7 ,3.6 ,4.3 ,5.702 ,0.069 ,2.118 ,0.050 ,22.833 ,4.0000 ,3.1761 
6.0 ,9.7 ,472 ,5.2 ,3.1 ,5.4 ,4.4 ,2.8 ,5.8 ,5.589 ,0.141 ,2.327 ,0.076 ,27.410 ,4.4393 ,3.9542 
7.3 ,11.8 ,464 ,5.8 ,2.7 ,4.8 ,4.3 ,2.8 ,3.0 ,6.349 ,0.076 ,2.308 ,0.033 ,20.778 ,3.3222 ,1.6990 
7.0 ,12.8 ,445 ,5.3 ,2.3 ,4.8 ,4.0 ,3.3 ,4.9 ,6.082 ,0.080 ,2.699 ,0.047 ,24.083 ,3.7324 ,2.1761 
7.0 ,11.5 ,380 ,4.8 ,2.4 ,4.1 ,3.9 ,5.5 ,9.4 ,5.434 ,0.083 ,2.181 ,0.037 ,19.903 ,2.8751 ,1.3010 
7.0 ,12.9 ,373 ,5.3 ,2.0 ,4.6 ,4.4 ,7.7 ,5.5 ,6.066 ,0.111 ,3.347 ,0.026 ,14.486 ,2.5682 ,0.9031 
6.4 ,10.3 ,414 ,7.1 ,3.3 ,6.5 ,5.5 ,12.0 ,5.9 ,7.946 ,0.185 ,4.486 ,0.110 ,24.049 ,4.3222 ,2.6435 
7.1 ,12.0 ,417 ,5.5 ,2.7 ,5.3 ,4.6 ,15.3 ,5.4 ,6.608 ,0.089 ,3.309 ,0.026 ,16.681 ,2.9542 ,1.0000 
7.3 ,15.3 ,444 ,5.3 ,3.9 ,6.6 ,5.3 ,21.6 ,6.3 ,7.318 ,0.109 ,4.331 ,0.028 ,15.000 ,2.7782 ,0.7782 
6.9 ,11.7 ,424 ,7.1 ,4.4 ,6.8 ,5.5 ,28.8 ,7.0 ,8.493 ,0.118 ,4.888 ,0.037 ,23.139 ,3.8808 ,3.6232 
7.2 ,11.3 ,401 ,8.2 ,6.0 ,7.2 ,5.9 ,45.9 ,8.2 ,6.890 ,0.122 ,3.745 ,0.026 ,17.472 ,3.7482 ,1.5051 
6.8 ,12.7 ,430 ,8.0 ,6.0 ,7.2 ,6.2 ,55.4 ,10.2 ,8.549 ,0.136 ,5.286 ,0.023 ,17.618 ,3.0934 ,1.9542 
7.3 ,13.8 ,442 ,8.3 ,6.8 ,8.5 ,6.6 ,91.5 ,13.9 ,8.130 ,0.157 ,4.640 ,0.017 ,8.521 ,2.8921 ,1.7160 
7.6 ,12.8 ,447 ,9.2 ,6.2 ,8.7 ,6.6 ,73.4 ,11.9 ,8.203 ,0.127 ,5.135 ,0.013 ,9.104 ,2.7160 ,1.6021 
7.8 ,11.2 ,378 ,13.5 ,7.6 ,11.6 ,7.5 ,142.0 ,18.4 ,5.516 ,0.174 ,2.911 ,0.007 ,16.611 ,3.6628 ,1.8129 
7.6 ,9.4 ,454 ,13.0 ,7.7 ,13.8 ,7.9 ,136.8 ,12.6 ,7.894 ,0.139 ,4.631 ,0.023 ,10.000 ,2.6232 ,0.9031 
7.0 ,3.4 ,314 ,14.4 ,4.5 ,7.9 ,5.8 ,9.1 ,10.1 ,4.505 ,0.181 ,2.515 ,0.109 ,26.403 ,4.7924 ,3.6232 
7.3 ,9.0 ,363 ,15.3 ,6.8 ,10.4 ,6.7 ,75.5 ,19.8 ,6.181 ,0.169 ,2.949 ,0.004 ,26.201 ,3.0212 ,1.9031 
7.3 ,9.1 ,336 ,15.6 ,6.6 ,8.9 ,6.5 ,97.7 ,11.4 ,5.778 ,0.148 ,3.137 ,0.040 ,23.083 ,3.8921 ,2.5315 
7.2 ,8.3 ,372 ,18.0 ,4.5 ,8.4 ,6.9 ,41.5 ,8.7 ,6.166 ,0.148 ,3.262 ,0.044 ,12.396 ,2.3010 ,1.2041 
6.9 ,7.6 ,284 ,20.2 ,6.9 ,8.3 ,5.4 ,65.7 ,11.4 ,4.326 ,0.154 ,1.892 ,0.045 ,24.382 ,4.2304 ,3.1987 
6.9 ,2.6 ,278 ,19.7 ,4.4 ,8.2 ,5.8 ,55.4 ,8.1 ,5.088 ,0.106 ,2.276 ,0.027 ,24.306 ,2.1461 ,1.3802 
6.9 ,5.7 ,317 ,21.2 ,6.9 ,8.4 ,6.4 ,49.0 ,13.7 ,5.797 ,0.171 ,3.463 ,0.031 ,19.896 ,3.5798 ,3.0334 
7.4 ,9.7 ,358 ,22.5 ,6.8 ,8.6 ,7.0 ,55.1 ,12.6 ,5.569 ,0.128 ,2.695 ,0.005 ,8.660 ,2.3979 ,1.7782 
7.0 ,9.8 ,359 ,24.4 ,5.8 ,8.6 ,6.8 ,46.8 ,13.5 ,5.799 ,0.137 ,3.053 ,0.014 ,18.653 ,2.7076 ,2.2430 
6.8 ,8.4 ,356 ,23.5 ,5.7 ,8.3 ,6.4 ,56.6 ,15.8 ,5.282 ,0.127 ,2.162 ,0.005 ,20.764 ,2.6021 ,2.0792 
6.4 ,3.4 ,261 ,24.0 ,4.8 ,8.3 ,6.2 ,15.4 ,12.7 ,4.265 ,0.144 ,2.281 ,0.055 ,27.750 ,4.1004 ,3.5051 
6.3 ,5.0 ,244 ,23.5 ,5.1 ,8.4 ,6.3 ,30.0 ,11.6 ,3.692 ,0.120 ,1.204 ,0.032 ,10.750 ,4.1931 ,2.2788 
6.8 ,7.2 ,231 ,24.0 ,5.1 ,7.8 ,5.8 ,74.4 ,12.3 ,3.241 ,0.104 ,0.668 ,0.020 ,17.674 ,3.4150 ,2.6812 
7.7 ,9.3 ,267 ,26.0 ,6.9 ,10.7 ,7.8 ,82.0 ,9.9 ,4.355 ,0.128 ,1.332 ,0.013 ,25.708 ,2.4314 ,1.9031 
7.0 ,5.9 ,166 ,23.9 ,2.1 ,7.0 ,5.1 ,8.7 ,12.2 ,2.675 ,0.166 ,0.492 ,0.106 ,76.313 ,4.0645 ,3.5185 
7.6 ,6.8 ,239 ,27.0 ,3.3 ,8.2 ,5.2 ,69.1 ,7.7 ,3.169 ,0.119 ,0.808 ,0.016 ,24.035 ,2.7924 ,2.3222 
7.6 ,6.5 ,277 ,27.8 ,4.4 ,7.2 ,5.6 ,68.1 ,8.6 ,3.207 ,0.134 ,1.178 ,0.028 ,27.681 ,4.3424 ,3.6232 
7.4 ,7.9 ,305 ,30.3 ,4.9 ,8.4 ,6.5 ,64.2 ,7.7 ,4.687 ,0.175 ,1.293 ,0.046 ,19.569 ,2.3979 ,2.1614 
7.1 ,4.7 ,351 ,29.6 ,4.3 ,9.5 ,7.7 ,79.9 ,11.1 ,5.385 ,0.181 ,2.044 ,0.040 ,20.889 ,2.8976 ,2.6232 
7.5 ,6.9 ,287 ,27.5 ,3.4 ,7.7 ,5.4 ,60.5 ,8.8 ,3.322 ,0.183 ,1.028 ,0.065 ,21.938 ,3.9542 ,3.3424 
6.9 ,5.9 ,235 ,25.3 ,4.0 ,5.7 ,4.5 ,30.8 ,9.3 ,3.011 ,0.197 ,0.806 ,0.076 ,22.826 ,3.8129 ,3.2900 
