Point,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
al_달성,1.6,5.5,2.944,2.778,2.27,0.134,0.072,0.047,0.038,19.7
al_달성,2,5.9,2.637,2.429,2.18,0.088,0.052,0.033,0.019,22.2
al_달성,2.1,5.5,2.37,2.267,1.81,0.135,0.045,0.025,0.01,23.7
al_달성,2.5,6.2,2.748,2.625,2.094,0.198,0.044,0.03,0.014,27.3
al_달성,2.1,6.3,2.207,2.036,1.483,0.163,0.028,0.065,0.008,17.9
al_달성,2.5,6.8,2.503,2.408,2.113,0.149,0.034,0.021,0.01,23.2
al_달성,2.5,6,2.278,2.191,1.76,0.108,0.03,0.019,0.008,16.7
al_달성,2.4,6.7,2.723,2.626,2.023,0.115,0.04,0.026,0.014,20.9
al_달성,2,6.3,2.469,2.351,1.756,0.089,0.038,0.02,0.009,20.5
am_금호강6,4,9.5,7.4,6.017,4.416,0.501,0.472,0.388,0.333,33.8
am_금호강6,3.9,8.9,6.76,6.331,5.314,0.508,0.43,0.365,0.342,38.7
am_금호강6,3.8,8.7,7.442,7.178,6.223,0.279,0.673,0.619,0.596,44.7
am_금호강6,3.6,9,6.666,6.273,5.331,0.2,0.653,0.568,0.505,56.5
am_금호강6,3.9,9.9,7.527,7.121,5.952,0.19,0.667,0.564,0.512,61.2
am_금호강6,3,8.8,6.563,6.209,5.393,0.184,0.465,0.386,0.346,35.9
am_금호강6,3.3,8.5,6.521,6.213,5.376,0.238,0.42,0.331,0.309,34.7
am_금호강6,3.1,8,6.763,6.304,5.529,0.212,0.268,0.189,0.169,43.5
am_금호강6,3.8,8.5,7.065,6.433,5.346,0.327,0.125,0.057,0.032,47.2
am_금호강6,3.6,9,6.872,6.454,5.201,0.231,0.113,0.047,0.024,49.8
am_금호강6,4.3,9.1,5.874,5.476,4.439,0.266,0.1,0.044,0.019,61
am_금호강6,3.7,8.5,5.712,5.338,4.319,0.289,0.086,0.05,0.032,45.3
am_금호강6,3.8,9.1,5.983,5.474,4.145,0.239,0.071,0.032,0.013,53.8
am_금호강6,3,8.1,5.747,5.428,4.409,0.217,0.06,0.04,0.024,35.6
am_금호강6,3.1,8,5.086,4.828,4.04,0.147,0.069,0.047,0.026,30.8
an_화원나루,3.3,7.2,4.944,3.923,3.098,0.354,0.304,0.249,0.2,29.4
an_화원나루,3.2,7,4.637,4.296,3.722,0.257,0.283,0.216,0.197,49.4
an_화원나루,3.3,6.9,4.565,4.316,3.62,0.206,0.286,0.22,0.206,54.3
an_화원나루,3,7.3,4.162,3.973,3.312,0.325,0.217,0.179,0.163,42.4
an_화원나루,3,7,4.323,4.036,3.558,0.176,0.402,0.231,0.218,44
an_화원나루,2.1,6.9,4.294,4.168,3.687,0.232,0.219,0.172,0.136,18.8
an_화원나루,2,6.8,4.15,3.915,3.28,0.229,0.194,0.13,0.118,14.6
an_화원나루,2.4,6.4,3.241,3.137,2.741,0.085,0.085,0.064,0.048,22.5
an_화원나루,2.4,5.9,3.073,2.952,2.19,0.143,0.051,0.033,0.015,24.4
an_화원나루,2.9,6.8,4.077,3.979,3.337,0.269,0.051,0.031,0.016,35.3
an_화원나루,3.1,7.6,3.363,3.1,2.424,0.212,0.043,0.026,0.013,35.2
an_화원나루,2.4,7.4,3.856,3.687,2.857,0.283,0.058,0.035,0.019,23.8
an_화원나루,2.1,6.6,3.43,3.184,2.371,0.14,0.039,0.02,0.008,22.2
an_화원나루,2.2,7,3.702,3.493,2.739,0.153,0.046,0.028,0.016,21.6
an_화원나루,2.5,6.7,3.225,3.071,2.333,0.169,0.046,0.03,0.013,22.5
ao_고령,2.9,6.4,4.334,3.564,2.841,0.232,0.191,0.153,0.109,32.8
ao_고령,2.8,6.4,4.009,3.731,3.172,0.19,0.188,0.136,0.106,41.5
ao_고령,2.8,6,4.081,3.86,3.225,0.198,0.211,0.151,0.136,46.9
ao_고령,3.1,7,4.069,3.897,3.241,0.268,0.231,0.176,0.16,56.7
ao_고령,3.3,8.1,4.176,3.971,3.497,0.154,0.24,0.185,0.172,64
ao_고령,2,6.6,3.971,3.803,3.21,0.298,0.171,0.116,0.104,25.4
ao_고령,2,6.5,4.041,3.815,3.143,0.197,0.158,0.1,0.087,27.9
ao_고령,2.4,6.7,3.77,3.533,3.144,0.113,0.096,0.064,0.046,28.1
ao_고령,2.4,6.2,3.383,3.239,2.593,0.158,0.059,0.033,0.013,31.5
ao_고령,2.9,6.8,3.803,3.662,3.066,0.242,0.051,0.035,0.014,32.5
ao_고령,3,7.7,3.441,3.305,2.484,0.233,0.044,0.026,0.012,34.9
ao_고령,2.8,7.9,3.548,3.433,3.1,0.22,0.054,0.035,0.021,32.3
ao_고령,2.8,7,3.159,3.044,2.373,0.163,0.037,0.023,0.007,22.3
ao_고령,2.6,7.3,3.495,3.368,2.504,0.153,0.042,0.028,0.015,25.8
ao_고령,2.4,7.3,3.314,3.177,2.409,0.144,0.045,0.025,0.012,27.1
ap_현풍,2.8,6.3,4.399,3.544,2.704,0.341,0.194,0.159,0.113,34.5
ap_현풍,2.8,6.4,4.029,3.685,3.263,0.205,0.185,0.119,0.09,56.2
ap_현풍,2.8,6.1,4.059,3.716,3.166,0.126,0.215,0.133,0.118,71.6
ap_현풍,3,6.9,4.188,4.021,3.21,0.342,0.217,0.171,0.155,66.1
ap_현풍,3.3,7.9,4.062,3.859,3.413,0.166,0.233,0.207,0.194,55.6
ap_현풍,2.1,6.7,3.866,3.67,3.244,0.228,0.155,0.104,0.095,24.7
