site,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater,round
JS-15,0.031,0.025,0.115,0.024,0.173,0.541,0.029,0.062,round08
JS-16,0.031,0.025,0.112,0.022,0.161,0.558,0.028,0.062,round08
JS-17,0.031,0.022,0.11,0.023,0.168,0.55,0.031,0.064,round08
JS-18,0.043,0.024,0.102,0.03,0.172,0.543,0.029,0.057,round08
JS-19,0.042,0.024,0.106,0.029,0.172,0.541,0.029,0.056,round08
JS-20,0.026,0.02,0.099,0.021,0.16,0.565,0.034,0.076,round08
JS-21,0.028,0.024,0.11,0.021,0.177,0.551,0.029,0.061,round08
JS-22,0.025,0.022,0.109,0.018,0.168,0.527,0.035,0.096,round08
JS-23,0.031,0.024,0.101,0.025,0.173,0.552,0.031,0.062,round08
JS-24,0.03,0.021,0.105,0.024,0.162,0.559,0.033,0.066,round08
JS-25,0.028,0.022,0.107,0.022,0.166,0.564,0.028,0.063,round08
JS-26,0.029,0.023,0.106,0.023,0.171,0.557,0.029,0.062,round08
JS-27,0.033,0.025,0.108,0.024,0.169,0.555,0.027,0.06,round08
JS-28,0.023,0.019,0.11,0.019,0.15,0.555,0.038,0.087,round08
JS-29,0.034,0.027,0.104,0.024,0.177,0.547,0.031,0.057,round08
JS-30,0.025,0.022,0.107,0.021,0.155,0.556,0.033,0.079,round08
JS-31,0.033,0.024,0.101,0.023,0.179,0.549,0.029,0.062,round08
JS-32,0.029,0.02,0.101,0.02,0.164,0.566,0.032,0.069,round08
JS-33,0.022,0.017,0.1,0.019,0.141,0.566,0.037,0.098,round08
JS-34,0.031,0.027,0.11,0.022,0.168,0.55,0.029,0.062,round08
JS-35,0.539,0.015,0.035,0.239,0.05,0.086,0.013,0.023,round08
JS-36,0.032,0.024,0.11,0.023,0.169,0.558,0.027,0.057,round08
JS-01,0.018,0.017,0.078,0.032,0.137,0.599,0.092,0.028,round09
JS-02,0.026,0.021,0.089,0.043,0.154,0.568,0.071,0.027,round09
JS-03,0.021,0.024,0.095,0.037,0.155,0.561,0.077,0.03,round09
JS-04,0.027,0.028,0.091,0.045,0.169,0.549,0.067,0.024,round09
JS-05,0.037,0.024,0.087,0.057,0.179,0.525,0.067,0.024,round09
JS-06,0.026,0.03,0.1,0.042,0.171,0.541,0.065,0.025,round09
JS-07,0.02,0.023,0.102,0.038,0.153,0.559,0.077,0.028,round09
JS-08,0.022,0.021,0.083,0.036,0.148,0.579,0.081,0.03,round09
JS-09,0.02,0.022,0.098,0.038,0.158,0.551,0.083,0.03,round09
JS-10,0.024,0.023,0.091,0.04,0.161,0.557,0.076,0.029,round09
JS-11,0.021,0.022,0.09,0.038,0.151,0.564,0.085,0.029,round09
JS-12,0.021,0.019,0.077,0.037,0.148,0.579,0.087,0.032,round09
JS-13,0.019,0.02,0.089,0.037,0.15,0.571,0.086,0.029,round09
JS-14,0.017,0.026,0.101,0.034,0.151,0.549,0.086,0.036,round09
JS-15,0.018,0.019,0.092,0.033,0.148,0.566,0.09,0.033,round09
JS-16,0.02,0.021,0.088,0.036,0.148,0.563,0.092,0.032,round09
JS-17,0.021,0.018,0.076,0.039,0.144,0.577,0.092,0.034,round09
JS-18,0.019,0.02,0.098,0.035,0.147,0.562,0.088,0.032,round09
JS-19,0.026,0.018,0.081,0.046,0.148,0.569,0.083,0.029,round09
JS-20,0.018,0.019,0.083,0.034,0.132,0.576,0.104,0.035,round09
JS-21,0.017,0.018,0.08,0.032,0.136,0.566,0.116,0.035,round09
JS-22,0.013,0.014,0.056,0.03,0.079,0.209,0.568,0.031,round09
JS-23,0.016,0.018,0.092,0.03,0.136,0.529,0.134,0.046,round09
JS-24,0.016,0.018,0.086,0.032,0.133,0.543,0.127,0.045,round09
JS-25,0.017,0.018,0.088,0.032,0.131,0.567,0.108,0.04,round09
JS-26,0.025,0.02,0.086,0.041,0.155,0.568,0.076,0.029,round09
JS-27,0.017,0.017,0.081,0.034,0.131,0.565,0.12,0.035,round09
JS-28,0.016,0.02,0.087,0.03,0.133,0.566,0.11,0.038,round09
JS-29,0.018,0.018,0.085,0.034,0.141,0.554,0.113,0.037,round09
JS-30,0.016,0.019,0.092,0.032,0.139,0.529,0.132,0.041,round09
