지점,지점명,일시,M기온,최저기온,최저기온날,최고기온,최고기온날,M최저기온,M최고기온,M해면기압,S강수량,일최다강수량,일최다강수량날,M상대습도,S일조시간,일조율,S일사량,M풍속,최다풍향,S소형증발량,S대형증발량
184,제주,1998,17,-2.9,19980124,37.4,19980815,14.1,20,1016.1,1581.1,219,19980929,74.9,1807.4,40.66,4436.99,3.2,20,1181.3,597.2
184,제주,1999,16,-1.6,19990203,32.8,19990721,13.2,19.1,1015.8,2526,248.2,19990803,71.2,1656.3,37.26,4389.35,3.4,340,1141.2,528.2
184,제주,2000,15.7,-1.7,20000208,36,20000721,12.7,18.8,1016.3,1189.4,147.5,20000915,66.3,2046.2,45.92,4799.21,3.4,360,1248.9,744.1
184,제주,2001,16.1,-3.1,20010114,35.8,20010731,13.2,19.3,1016.3,1388.6,73,20010809,65.1,1910.1,42.97,4685.87,3.2,340,1189.9,673.1
184,제주,2002,15.8,0.6,20020201,35,20020716,13.1,18.7,1016.1,1704.1,215,20020705,67.9,1794.9,40.35,4559.42,3.2,340,1118,618
184,제주,2003,15.7,-2.1,20030104,34.3,20030724,13,19.1,1016.5,1999.2,231.5,20030912,72.2,1757,39.5,4597.3,3.1,340,1074.8,630.4
184,제주,2004,16.4,-3.2,20040121,34.3,20040813,13.4,20,1016.4,1333.8,186.5,20040911,67.1,2106.3,47.25,5044.28,2.8,340,1285.8,747.7
184,제주,2005,16.2,-1.5,20051221,34.7,20050811,13.5,19.3,1016.3,872.5,98.5,20050807,63.7,1771,39.81,5086.58,3.5,20,1279.8,762.5
184,제주,2006,16.2,-1.8,20060203,34,20060825,13.5,19.4,1016,1527.4,161.5,20060630,64.3,1704.7,38.32,4791.09,3.2,20,1119.9,659.3
184,제주,2007,16.5,0.8,20070201,34,20070719,13.8,19.5,1016,2139.8,420,20070916,61.8,1671.8,39.07,4735.87,3.3,320,1198.2,715.9
184,제주,2008,16,-0.5,20080218,34.8,20080719,13.4,19,1016.3,1308.8,87.5,20080810,63.9,1687,37.94,4856.76,3.4,320,1207.7,675
184,제주,2009,16,-2.5,20090124,33.6,20090720,13.1,19.1,1015.9,1304.8,124,20090827,62.5,1764.7,39.67,5065.12,3.5,320,1272.9,742.5
184,제주,2010,15.6,-2.3,20100113,35.8,20100815,12.7,18.9,1016.2,1584.9,122,20100713,66.5,1681.8,38.07,4877.39,3.3,320,1169,618.9
184,제주,2011,15.6,-2.8,20110115,34.7,20110804,13,18.5,1016.8,1478.6,299,20110807,68.7,1720,38.66,5053.8,3.3,320,1279.5,676.2
184,제주,2012,15.7,-2.8,20120202,34.9,20120731,13.1,18.6,1015.8,2248.3,206,20120917,71.3,1693.4,37.98,4760.73,3.4,320,1225.6,650.9
184,제주,2013,16.5,-1.8,20130207,36.3,20130730,13.5,19.8,1016.2,859.1,70.1,20130406,72.1,1990.2,44.73,4963.44,3.2,320,1385.1,785.5
184,제주,2014,16.2,0.1,20140205,35.2,20140725,13.6,19.1,1016.4,1563.4,134.7,20140706,70.3,1755.5,39.46,4695.68,3.2,20,1285.6,725.9
184,제주,2015,16.7,-0.7,20150208,36.7,20150729,14.1,19.8,1016.5,1728.3,98.9,20150711,70.9,1826.6,41.06,4861.18,3,320,1209.7,659.8
184,제주,2016,17,-5.8,20160124,35.5,20160728,14.4,20.2,1016.6,1416.4,158.5,20161005,71.9,1718.4,38.54,4743.41,3.1,20,1277.9,757.2
184,제주,2017,16.8,-1.1,20170210,37,20170721,14,20,1017,773.3,67.5,20171002,67.5,1981.3,44.53,5193.92,3.1,320,1524,1067.1
184,제주,2018,16.6,-2.6,20180125,35.3,20180814,13.9,19.8,1016.7,1769.5,310,20181005,71.1,1939.7,43.6,5045.31,3.1,360,1418.3,992.9
184,제주,2019,16.8,1,20190212,35.4,20190730,14.2,19.9,1016.5,1979.9,187.7,20190719,69.8,1909.9,42.93,5007,3,320,1424,997.3
184,제주,2020,16.7,-1.4,20201230,36.3,20200815,14,20,1016.9,1389.5,183.6,20200902,69.2,1890.3,42.4,5004.37,3.1,320,1450.2,1016.3
184,제주,2021,17.5,-3.1,20210107,34.2,20210728,14.6,21,1016.6,1627.7,155.3,20210731,70.7,1965.3,44.18,5080.15,3.3,70,1502.6,1050.7
185,고산,1988,15.2,-2.1,19880203,30.5,19880805,12.7,17.7,1016.2,735.5,66.3,19880815,74.8,2278.9,51.15,4899.46,6.6,360,1611,
185,고산,1989,15.6,-1,19890127,30.5,19890813,13.3,18.2,1015.6,1081.5,166.4,19890908,76.1,1982.5,44.6,4690.79,6.3,360,1239.1,
185,고산,1990,16.2,-3.5,19900126,32.4,19900807,13.7,18.8,1015.8,1162.3,56.8,19900924,77.5,2141,48.17,4855.41,6.6,360,1284.1,
185,고산,1991,15.2,-3,19910223,31.4,19910728,13,17.7,1015.2,1504,168.1,19910519,77.2,1917.2,43.13,4296.19,5.6,360,,
185,고산,1992,15.7,0.2,19920201,31.7,19920829,13.1,18.2,1015.6,1107.6,126.8,19920831,78.1,2127.2,47.75,3753.77,5.8,360,,
185,고산,1993,14.9,-1.5,19930127,28.8,19930809,12.5,17.5,1015.7,1151.4,91.8,19930807,78.3,1675.9,37.7,3509.77,7.5,360,,
185,고산,1994,16.1,-0.3,19940119,33.1,19940726,13.7,18.9,1015.4,834.3,75.5,19940420,77.5,2296.2,51.65,5056.57,7.1,360,,
185,고산,1995,15.3,0,19950205,31.4,19950804,12.9,17.9,1016.5,1003,178.5,19950702,75.3,2082.6,46.85,4897.01,7.3,320,,
185,고산,1996,15.3,-1.5,19960108,33.1,19960731,12.8,17.9,1016.3,837.4,100,19960821,75.4,1995.9,44.79,4280.7,6.9,320,,
185,고산,1997,15.8,-0.8,19970121,31.5,19970729,13.2,18.5,1015.9,875.1,126.2,19971125,73.9,2107.7,47.41,4267.13,7.8,340,,
185,고산,1998,16.3,-2.5,19980124,32.1,19980919,13.9,19.2,1015.4,1050.4,169.7,19980929,80.8,2035.9,45.8,3419.94,7.1,360,,
185,고산,1999,15.4,-1.3,19990203,30.1,19990812,13.1,18.5,1014.9,1874.5,240.3,19990701,78.1,1980.9,44.57,4506.94,7.5,340,,
185,고산,2000,15.1,-1.4,20000208,32.7,20000728,12.5,18.1,1015.4,1013.6,154.5,20000915,72.8,2083.7,46.76,5399.53,7.2,360,,
185,고산,2001,15.6,-2.7,20010115,34.3,20010803,12.9,18.9,1015.4,1113.7,75,20010808,71.8,2023.1,45.51,5346.33,7.4,20,,
185,고산,2002,15.3,0.9,20021225,31.8,20020716,12.7,18.5,1015.3,1225.8,64,20020916,73.8,1821.2,40.96,5018.47,7.7,340,,
185,고산,2003,15.3,-2.6,20030129,31.6,20030906,12.8,18.2,1015.6,1503,130.5,20030530,76,1756.3,39.48,4408.09,7.5,340,,
185,고산,2004,16.1,-4.5,20040122,33.5,20040811,13.4,19.3,1015.8,1269.9,158,20040818,72.1,2139.4,48,4962.89,7.2,360,,
185,고산,2005,15.4,-2,20051221,32.6,20050814,12.9,18.4,1015.8,827.5,43.5,20051111,72.2,1909.7,42.93,4758.76,8,360,,
185,고산,2006,15.5,-1.9,20060203,33,20060828,13,18.7,1015.4,1350.3,188.5,20060708,73.3,1862.3,41.86,4427.3,7,360,,
185,고산,2007,16.2,0.4,20070201,32.7,20070727,13.8,19.1,1015.2,1296,113.5,20070916,71.9,1934.4,43.5,5211.77,6.7,360,,
185,고산,2008,15.8,-1.2,20080213,32.5,20080816,13.3,18.8,1015.6,972.3,65.5,20080621,69.3,1859.9,41.71,5285.95,6.8,360,,
185,고산,2009,15.7,-3.6,20090124,33.2,20090808,13.1,18.6,1015.2,1133,88.5,20090630,68.7,1950.6,43.84,5461.55,6.9,360,,
185,고산,2010,15.7,-2.4,20100113,33.5,20100821,13.1,18.7,1015.6,1361.8,100.5,20100713,71.5,1789.3,40.22,5144.09,7.1,340,,
185,고산,2011,15.4,-3.6,20110116,33.9,20110805,13.1,18.1,1016.3,961.3,67,20110807,73.1,1784.6,40.12,5503.21,6.9,340,,
185,고산,2012,15.6,-2.3,20120202,34.2,20120806,13.1,18.4,1015.5,1418.1,134.5,20120823,70.5,1803.7,40.55,5561.26,6.5,340,,
185,고산,2013,15.5,-2.9,20130207,33.8,20130821,12.9,18.4,1016.1,697.1,34.6,20130914,74.5,2132.3,47.93,5797.62,6.8,340,,
185,고산,2014,15.5,-1.1,20140205,32.6,20140731,13,18.5,1016.2,1271.6,101.5,20140706,76.8,2130.1,47.89,4353.54,6.4,320,,
185,고산,2015,15.6,-1.4,20150208,33.4,20150710,13.2,18.5,1016.4,1546.4,115.5,20150511,77.7,2075.3,46.65,4098.63,6.2,340,,
185,고산,2016,16.2,-6.2,20160124,34,20160813,13.8,19.2,1016.4,1293.1,70.5,20160712,78.6,1911.3,42.96,3441.83,6.3,340,656.8,459.2
185,고산,2017,16,-1.4,20170210,35.1,20170805,13.4,19.1,1016.6,861.3,109.8,20170819,77.2,2230.2,50.13,3665.49,6.5,340,1272.9,891.7
185,고산,2018,16.1,-2.7,20180124,35.5,20180802,13.6,19.2,1016.1,1345.8,103.1,20181005,79.5,2237.6,50.3,4778.99,,50,1356.3,950
185,고산,2019,16.2,1.3,20190209,32.9,20190808,13.7,19.2,1015.9,1560.9,109.9,20190626,78.3,2236,50.27,4772.36,5.4,50,1370.9,959.7
185,고산,2020,16,-1.4,20201230,32.9,20200822,13.6,19,1016.4,1228.9,100,20200613,79.3,2189.8,49.12,4725.28,6.5,340,1388.6,972.3
185,고산,2021,17,-2.8,20210108,34.2,20210722,14.3,20.3,1016,1387.9,100.3,20210611,80.3,2335.3,52.49,4915.36,6.7,340,1443.7,1010.8
187,성산,1971,,,,,,,,,35.3,35.3,19711208,,,,,,,,
187,성산,1972,,,,,,,,,235.5,100.2,19721109,,,,,,,,
187,성산,1973,15.3,-2.2,19730221,32.4,19730708,11.4,18.8,,1595.3,170,19730816,73.7,2444.6,55.32,5269.02,3.4,20,,
187,성산,1974,14.5,-4.5,19740212,31.7,19740814,10.5,18.1,,1810.3,176,19740830,79.3,2395.2,54.07,9976.12,3.5,320,,
187,성산,1975,15.6,-3.3,19750224,32.6,19750818,12,18.7,,1481.5,58,19751002,77.3,2401.2,54.21,8221.43,3.6,320,,
187,성산,1976,14.4,-4.2,19760124,32.7,19760814,10.3,18.1,,1810.1,114,19760213,80.3,2252.3,50.71,8610.94,3.3,320,1108.7,
187,성산,1977,15.1,-6.4,19770216,33.3,19770804,11,18.7,,1536,117.5,19770529,81.7,2332.7,52.66,9478.79,3.2,320,1090,
187,성산,1978,15.5,-3.4,19780204,33,19780705,11.4,19.6,,1069.8,91.5,19780802,77.3,2652.3,59.87,11247.57,3.3,290,1225.7,
