site,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater,round
JS-24,0.01,0.017,0.122,0.031,0.108,0.585,0.075,0.051,round10
JS-25,0.011,0.016,0.104,0.034,0.101,0.634,0.06,0.041,round10
JS-26,0.01,0.017,0.131,0.029,0.107,0.583,0.073,0.049,round10
JS-27,0.009,0.015,0.101,0.036,0.101,0.626,0.072,0.04,round10
JS-28,0.009,0.02,0.126,0.029,0.112,0.579,0.075,0.05,round10
JS-29,0.01,0.016,0.105,0.035,0.102,0.615,0.075,0.041,round10
JS-30,0.009,0.019,0.152,0.028,0.115,0.522,0.09,0.066,round10
JS-31,0.01,0.017,0.123,0.031,0.099,0.588,0.083,0.049,round10
JS-32,0.011,0.018,0.113,0.032,0.11,0.611,0.063,0.043,round10
JS-33,0.008,0.016,0.119,0.03,0.095,0.558,0.108,0.066,round10
JS-34,0.012,0.018,0.119,0.035,0.111,0.601,0.064,0.039,round10
JS-35,0.009,0.017,0.115,0.03,0.103,0.599,0.078,0.05,round10
JS-36,0.01,0.016,0.112,0.03,0.1,0.618,0.067,0.047,round10
JS-01,0.009,0.013,0.115,0.026,0.13,0.6,0.075,0.03,round11
JS-02,0.009,0.015,0.131,0.028,0.137,0.542,0.095,0.043,round11
JS-03,0.009,0.017,0.137,0.028,0.137,0.544,0.089,0.04,round11
JS-04,0.014,0.023,0.138,0.032,0.156,0.554,0.055,0.028,round11
JS-05,0.011,0.015,0.116,0.032,0.135,0.578,0.078,0.035,round11
JS-06,0.012,0.019,0.132,0.033,0.145,0.562,0.068,0.031,round11
JS-07,0.009,0.016,0.152,0.028,0.138,0.526,0.089,0.041,round11
JS-08,0.009,0.017,0.142,0.028,0.142,0.527,0.094,0.04,round11
JS-09,0.011,0.016,0.127,0.035,0.141,0.565,0.072,0.034,round11
JS-10,0.009,0.016,0.157,0.027,0.142,0.519,0.088,0.041,round11
JS-11,0.011,0.014,0.124,0.031,0.142,0.57,0.074,0.034,round11
JS-12,0.009,0.017,0.128,0.028,0.142,0.549,0.087,0.04,round11
JS-13,0.012,0.016,0.123,0.033,0.142,0.566,0.076,0.031,round11
JS-14,0.01,0.018,0.139,0.028,0.135,0.536,0.096,0.039,round11
JS-15,0.012,0.017,0.124,0.031,0.149,0.567,0.068,0.031,round11
JS-16,0.012,0.019,0.124,0.033,0.145,0.568,0.069,0.03,round11
JS-17,0.011,0.017,0.127,0.03,0.149,0.563,0.071,0.033,round11
JS-18,0.015,0.018,0.124,0.037,0.163,0.559,0.058,0.025,round11
JS-19,0.012,0.016,0.123,0.034,0.139,0.58,0.067,0.029,round11
JS-20,0.013,0.016,0.126,0.036,0.14,0.571,0.068,0.029,round11
JS-21,0.01,0.014,0.11,0.029,0.127,0.583,0.093,0.034,round11
JS-22,0.01,0.013,0.106,0.028,0.1,0.328,0.355,0.061,round11
JS-23,0.01,0.016,0.132,0.029,0.141,0.558,0.079,0.034,round11
JS-24,0.009,0.016,0.134,0.028,0.14,0.556,0.079,0.038,round11
JS-25,0.014,0.015,0.106,0.038,0.14,0.596,0.064,0.027,round11
JS-26,0.01,0.017,0.132,0.03,0.147,0.555,0.076,0.033,round11
JS-27,0.01,0.015,0.121,0.031,0.135,0.579,0.076,0.034,round11
JS-28,0.01,0.015,0.119,0.031,0.138,0.564,0.088,0.034,round11
JS-29,0.012,0.015,0.123,0.031,0.144,0.576,0.071,0.029,round11
JS-30,0.01,0.016,0.134,0.029,0.14,0.55,0.086,0.036,round11
JS-31,0.013,0.016,0.124,0.034,0.142,0.576,0.065,0.031,round11
JS-32,0.011,0.016,0.114,0.03,0.131,0.59,0.074,0.032,round11
JS-33,0.01,0.013,0.11,0.03,0.118,0.527,0.142,0.049,round11
JS-34,0.012,0.016,0.119,0.035,0.145,0.575,0.067,0.03,round11
JS-35,0.01,0.017,0.133,0.028,0.138,0.556,0.082,0.038,round11
JS-36,0.01,0.016,0.125,0.031,0.142,0.567,0.074,0.034,round11
JS-01,0.019,0.016,0.092,0.035,0.183,0.589,0.032,0.034,round12
JS-02,0.026,0.019,0.103,0.047,0.194,0.545,0.032,0.033,round12
JS-03,0.046,0.021,0.101,0.062,0.22,0.487,0.031,0.032,round12
JS-04,0.036,0.025,0.104,0.055,0.201,0.516,0.032,0.032,round12
JS-05,0.032,0.022,0.096,0.051,0.213,0.526,0.03,0.031,round12
JS-06,0.03,0.022,0.106,0.049,0.213,0.514,0.034,0.032,round12
JS-07,0.021,0.02,0.11,0.036,0.196,0.543,0.036,0.038,round12
JS-08,0.017,0.02,0.111,0.033,0.182,0.555,0.039,0.044,round12
JS-09,0.021,0.02,0.108,0.04,0.187,0.555,0.036,0.034,round12
JS-10,0.022,0.019,0.103,0.044,0.196,0.546,0.034,0.036,round12
JS-11,0.018,0.021,0.11,0.034,0.187,0.555,0.036,0.039,round12
JS-12,0.015,0.014,0.098,0.033,0.162,0.561,0.055,0.061,round12
JS-13,0.026,0.016,0.091,0.048,0.19,0.562,0.034,0.033,round12
JS-14,0.02,0.021,0.117,0.039,0.192,0.53,0.039,0.043,round12
JS-15,0.017,0.019,0.109,0.035,0.175,0.567,0.038,0.04,round12
JS-16,0.021,0.022,0.113,0.039,0.191,0.545,0.034,0.035,round12
JS-17,0.018,0.019,0.11,0.036,0.178,0.559,0.04,0.04,round12
JS-18,0.03,0.021,0.104,0.05,0.211,0.523,0.029,0.032,round12
JS-19,0.024,0.02,0.106,0.042,0.194,0.545,0.035,0.034,round12
JS-20,0.017,0.019,0.121,0.033,0.177,0.543,0.041,0.05,round12
JS-21,0.019,0.018,0.104,0.036,0.177,0.564,0.04,0.041,round12
JS-22,0.015,0.015,0.098,0.032,0.176,0.564,0.047,0.054,round12
JS-23,0.019,0.018,0.104,0.038,0.198,0.552,0.036,0.035,round12
JS-24,0.022,0.019,0.108,0.042,0.194,0.541,0.038,0.036,round12
JS-25,0.021,0.02,0.102,0.042,0.189,0.553,0.036,0.038,round12
JS-26,0.025,0.019,0.099,0.043,0.195,0.554,0.033,0.033,round12
JS-27,0.02,0.017,0.096,0.039,0.182,0.574,0.035,0.037,round12
JS-28,0.015,0.015,0.1,0.03,0.171,0.572,0.048,0.048,round12
JS-29,0.018,0.022,0.111,0.034,0.182,0.549,0.042,0.042,round12
JS-30,0.017,0.015,0.104,0.032,0.178,0.553,0.049,0.053,round12
JS-31,0.021,0.018,0.098,0.039,0.192,0.555,0.038,0.04,round12
JS-32,0.017,0.019,0.109,0.034,0.19,0.543,0.043,0.046,round12
JS-33,0.016,0.015,0.104,0.031,0.165,0.572,0.047,0.05,round12
JS-34,0.025,0.019,0.096,0.049,0.197,0.544,0.035,0.035,round12
JS-35,0.018,0.02,0.116,0.033,0.195,0.539,0.039,0.039,round12
JS-36,0.021,0.018,0.104,0.041,0.187,0.555,0.035,0.039,round12
JS-01,0.017,0.011,0.068,0.041,0.145,0.606,0.072,0.04,round13
JS-02,0.032,0.017,0.072,0.062,0.186,0.539,0.058,0.035,round13
JS-03,0.027,0.02,0.083,0.056,0.181,0.54,0.055,0.037,round13
JS-04,0.034,0.018,0.082,0.06,0.189,0.527,0.055,0.035,round13
JS-05,0.023,0.017,0.078,0.049,0.173,0.569,0.057,0.035,round13
JS-06,0.025,0.017,0.079,0.052,0.183,0.552,0.056,0.036,round13
JS-07,0.02,0.018,0.087,0.043,0.17,0.556,0.063,0.044,round13
JS-08,0.026,0.016,0.076,0.052,0.183,0.552,0.059,0.036,round13
JS-09,0.016,0.015,0.09,0.04,0.153,0.56,0.076,0.05,round13
JS-10,0.024,0.015,0.076,0.052,0.161,0.571,0.063,0.037,round13
JS-11,0.018,0.016,0.082,0.04,0.165,0.565,0.071,0.044,round13
JS-12,0.015,0.012,0.077,0.038,0.141,0.543,0.114,0.06,round13
JS-13,0.016,0.014,0.083,0.042,0.163,0.559,0.077,0.047,round13
JS-14,0.019,0.014,0.075,0.045,0.152,0.584,0.068,0.043,round13
JS-15,0.02,0.015,0.08,0.048,0.16,0.566,0.069,0.043,round13
JS-16,0.019,0.014,0.078,0.044,0.155,0.575,0.07,0.045,round13
JS-17,0.019,0.013,0.069,0.047,0.158,0.575,0.075,0.044,round13
JS-18,0.02,0.015,0.08,0.043,0.164,0.567,0.067,0.043,round13
JS-19,0.017,0.015,0.081,0.041,0.148,0.565,0.083,0.05,round13
JS-20,0.019,0.012,0.066,0.048,0.152,0.58,0.08,0.043,round13
JS-21,0.018,0.012,0.067,0.041,0.14,0.575,0.096,0.052,round13
JS-22,0.014,0.012,0.07,0.041,0.13,0.492,0.166,0.075,round13
JS-23,0.015,0.011,0.065,0.039,0.128,0.565,0.117,0.059,round13
JS-24,0.017,0.013,0.072,0.042,0.151,0.557,0.095,0.053,round13
JS-25,0.014,0.013,0.073,0.037,0.137,0.535,0.12,0.07,round13
JS-26,0.015,0.015,0.082,0.038,0.156,0.524,0.103,0.067,round13
JS-27,0.014,0.013,0.082,0.036,0.15,0.538,0.104,0.062,round13
JS-28,0.015,0.012,0.095,0.039,0.142,0.507,0.114,0.077,round13
JS-29,0.015,0.01,0.068,0.042,0.131,0.555,0.123,0.056,round13
JS-30,0.026,0.015,0.074,0.051,0.175,0.566,0.059,0.034,round13
JS-31,0.016,0.012,0.074,0.041,0.133,0.549,0.118,0.057,round13
JS-32,0.019,0.013,0.077,0.042,0.161,0.573,0.07,0.045,round13
JS-33,0.015,0.012,0.07,0.042,0.146,0.574,0.09,0.051,round13
JS-34,0.014,0.012,0.076,0.042,0.134,0.565,0.101,0.056,round13
JS-35,0.019,0.014,0.077,0.044,0.152,0.567,0.084,0.044,round13
JS-36,0.016,0.012,0.072,0.041,0.14,0.555,0.103,0.06,round13
JS-01,0.016,0.026,0.051,0.039,0.153,0.494,0.143,0.079,round14
JS-02,0.025,0.039,0.062,0.054,0.189,0.494,0.081,0.056,round14
JS-03,0.025,0.034,0.063,0.053,0.191,0.498,0.082,0.054,round14
JS-04,0.02,0.038,0.069,0.047,0.175,0.487,0.098,0.066,round14
JS-05,0.034,0.036,0.057,0.064,0.211,0.472,0.077,0.049,round14
JS-06,0.015,0.04,0.076,0.037,0.179,0.464,0.113,0.076,round14
JS-07,0.018,0.035,0.06,0.041,0.173,0.501,0.104,0.068,round14
JS-08,0.017,0.033,0.062,0.037,0.16,0.486,0.126,0.079,round14
JS-09,0.019,0.031,0.063,0.044,0.171,0.504,0.104,0.063,round14
JS-10,0.014,0.038,0.076,0.037,0.171,0.448,0.127,0.09,round14
JS-11,0.019,0.033,0.06,0.041,0.173,0.498,0.108,0.07,round14
JS-12,0.017,0.029,0.06,0.041,0.156,0.484,0.133,0.081,round14
JS-13,0.019,0.027,0.053,0.042,0.171,0.486,0.127,0.075,round14
JS-14,0.018,0.029,0.058,0.041,0.162,0.49,0.122,0.079,round14
JS-15,0.018,0.026,0.055,0.043,0.16,0.493,0.128,0.077,round14
JS-16,0.015,0.027,0.064,0.039,0.155,0.467,0.145,0.087,round14
JS-17,0.018,0.029,0.059,0.046,0.168,0.5,0.107,0.073,round14
JS-18,0.021,0.03,0.062,0.047,0.183,0.49,0.103,0.063,round14
JS-19,0.02,0.028,0.056,0.046,0.167,0.504,0.109,0.07,round14
JS-20,0.015,0.027,0.062,0.037,0.15,0.478,0.139,0.093,round14
JS-21,0.014,0.024,0.056,0.036,0.127,0.385,0.23,0.127,round14
JS-22,0.011,0.018,0.038,0.029,0.087,0.21,0.5,0.106,round14
JS-23,0.017,0.023,0.054,0.044,0.132,0.461,0.17,0.098,round14
JS-24,0.018,0.026,0.055,0.045,0.149,0.498,0.129,0.08,round14
JS-25,0.016,0.023,0.054,0.04,0.138,0.435,0.195,0.1,round14
JS-26,0.018,0.027,0.057,0.038,0.159,0.478,0.141,0.083,round14
JS-27,0.015,0.023,0.049,0.045,0.142,0.436,0.194,0.095,round14
JS-28,0.016,0.025,0.061,0.038,0.142,0.445,0.171,0.103,round14
JS-29,0.018,0.024,0.053,0.043,0.151,0.482,0.15,0.078,round14
JS-30,0.011,0.026,0.059,0.031,0.127,0.246,0.245,0.255,round14
JS-31,0.016,0.023,0.056,0.044,0.15,0.453,0.165,0.093,round14
JS-32,0.014,0.026,0.061,0.038,0.139,0.421,0.185,0.117,round14
JS-33,0.012,0.019,0.047,0.031,0.095,0.215,0.414,0.167,round14
JS-34,0.013,0.023,0.054,0.035,0.128,0.344,0.264,0.139,round14
JS-35,0.015,0.025,0.054,0.038,0.138,0.45,0.176,0.105,round14
JS-36,0.016,0.026,0.06,0.042,0.136,0.443,0.181,0.097,round14
