PO4_P,log TC,log FC
0.012,3.1139,2.301
0.02,1.7782,0
0.038,4.2625,3.5911
0.028,2,1.0792
0.066,4.2041,3.3424
0.059,2.4771,1.6021
0.069,3.1761,1.4771
0.155,3.9031,3
0.039,2.6021,2.0792
0.017,2,1
0.027,1.8451,0.301
0.008,1.9542,0
0.015,1.301,0
0.01,1.9031,0
0.011,1.9031,0.6021
0.011,2.4771,0.6021
0.057,2.6021,2.301
0.072,2,1.699
0.055,2.6021,1.699
0.026,2.301,1.699
0.01,1.699,0.301
0.012,1.0792,0
0.013,1.6435,0.301
0.015,0.699,0.301
0.019,2.9031,2.301
0.025,1.4771,1
0.022,2.4771,1.4771
0.021,2,0
0.035,4.301,3.0414
0.056,2,1.4771
0.048,2.6021,2.2788
0.03,2.4771,1.5185
0.037,2.6021,1.0792
0.028,3.6021,2.1761
0.013,1.6021,1.301
0.012,2.3424,1
0.027,2,0
0.022,1.9031,0.699
0.033,0.9031,0
0.023,1.7404,1.301
0.05,3.4624,3.1139
0.058,1.9912,0
0.086,2.5185,1.9868
0.034,3.3222,2.6128
0.017,2.6532,1
0.025,3.301,2.716
