region,spot,year,month,day,half,pollution,depth,WT,DO,pH,EC,sand,silt,clay,moisture,combustible,COD,TOC,TN,TP,SRP,Pb,Zn,Cu,Cr,Ni,As,Cd,Hg,Al,Li
Yeongsan,와탄천,2020,4,8,first,normal,1.2,14,13.3,9.2,372,95.1,4.5,0.4,21.6,0.32,0.05,0.14,321,250,3.3,25.9,234.3,24.9,53.9,22.9,7.3,0.21,0.035,9.53,55.7
Nakdong,용산,2020,4,8,first,slightlybad,10.8,15,12.5,8.7,331,99.3,0.7,0,19.9,0.61,0.04,0.07,600,139,2.6,31.2,144.2,23.8,74.3,38.1,10.2,0.31,0.075,9.09,44.8
Han,원주,2020,4,17,first,normal,1.3,12,11.7,7.8,235,75.8,24,0.3,21.8,1.1,0.32,0.58,861,360,4.3,23.8,111.8,10.9,46,21.6,3.1,0.18,0.029,7.66,27.1
Nakdong,위천6,2020,4,14,first,normal,4.7,15,10.5,8.3,346,94.6,5.1,0.3,18.5,0.59,0.03,0.07,742,85,1,31.3,102.8,20.4,67.9,27.4,13.4,0.25,0.043,8.18,42.6
Han,임진강7,2020,4,27,first,normal,1.5,16,10.5,8.4,977,26.5,73.5,0,30.1,2.53,0.36,0.37,570,402,4.7,18.9,61.7,12.2,85.9,35.4,6,0.12,0.036,7.62,32.2
Han,제천천5,2020,4,3,first,slightlybad,1.5,14,13.6,8.5,317,74.5,25.4,0,23.7,1.97,0.59,1.07,1269,605,3.4,35,181.6,25.9,61.2,24.9,6.9,0.28,0.075,11.43,42.6
Yeongsan,주진천2,2020,4,8,first,normal,0.7,15,13,9,431,83.6,15,1.4,19.5,0.61,0.11,0.16,308,232,1.8,28.1,75.2,14.3,51.2,19.1,6.4,0.18,0.019,7.85,46.9
Yeongsan,진월,2020,4,1,first,normal,2.3,14,10.6,8.1,17114,53.2,41,5.8,44.3,6.15,1.67,1.55,1364,511,7.5,32.5,142,30.2,62.9,28.9,10.7,0.24,0.052,9.63,91.4
Han,진위천3,2020,4,2,first,normal,1.1,16,15,8.3,1167,75.2,24.8,0,24.2,2,0.41,0.58,794,942,13.1,32,119,19.3,53.4,22.9,3.2,0.15,0.055,12.05,22.2
Nakdong,창녕,2020,4,10,first,normal,8.7,15,13.4,8.8,436,97.2,2.8,0,19.5,0.63,0.04,0.06,503,121,1.7,32.8,156.8,28.5,90.1,38.4,10,0.31,0.06,9,43.2
Geum,초강2,2020,4,29,first,slightlybad,1.2,17,10.5,8.5,166,93.9,6.1,0,17.5,0.5,0.04,0.09,491,157,1.6,30.6,124.2,29.5,52.3,22,12.8,0.51,0.039,7.3,64.1
Han,춘성교,2020,4,9,first,normal,2.3,10,12.1,8.7,113,75.7,24.3,0,24.4,2.6,0.5,2.14,2055,564,1,30.3,95.1,22.5,77.6,30,5.8,0.17,0.02,9.06,36
Han,춘천3,2020,4,22,first,normal,2.9,9,11.9,8.4,121,77.1,22.9,0,24.6,1.97,0.23,0.34,527,326,1,24.4,85.6,21.6,75.1,32.9,10.4,0.2,0.026,7.91,26.1
Han,탄천6,2020,4,7,first,normal,1,18,9.5,7.1,565,81.5,18.5,0,21.8,0.71,0.09,0.24,452,280,3.5,27,188.6,28.7,84.8,36.3,5.6,0.2,0.044,7.37,24.1
Yeongsan,탐진강3,2020,4,7,first,normal,0.8,15,11.7,8.5,119,90.8,8.9,0.3,21.9,1,0.15,0.27,462,313,2,33.2,134.3,23,59.1,24.3,14.3,0.31,0.037,8.68,49
Han,포남,2020,4,23,first,slightlybad,1.2,12,11.3,8.1,177,75.1,24.9,0,21,1.22,0.16,0.27,339,481,1,27.2,127.2,18.4,66.3,18.7,5.4,0.18,0.077,10.92,27.8
Han,한탄강4,2020,4,21,first,bad,1.3,15,13.2,8.3,774,85.2,14.8,0,20.6,0.47,0.05,0.11,270,253,1.3,38.8,1462.3,46.5,93,40,6.4,1.03,0.08,8.23,37.9
Han,행주,2020,4,16,first,normal,2.3,15,12.7,8.5,332,31.6,68.4,0,29.7,1.93,0.34,0.31,477,360,3.7,17.8,58.4,9.5,53.8,15.6,5.4,0.11,0.034,7.02,28.6
Han,홍천강6,2020,4,1,first,normal,4.5,14,10.3,8.1,180,83.2,16.8,0,22,1.34,0.13,0.36,587,619,0.6,26.7,63.9,11.7,95.1,29.6,8.5,0.16,0.011,7.41,15.3
Nakdong,황강2,2020,4,9,first,normal,1.7,13,11.5,7.8,147,96.1,3.9,0,21.7,0.72,0.1,0.11,717,157,1.4,27.6,205.9,19.3,24,11.2,2.8,0.36,0.042,9.08,33.9
Yeongsan,황룡강5,2020,4,21,first,slightlybad,1.3,15,9.7,8.1,304,82.6,16.5,0.9,26.5,2.77,0.06,0.13,327,329,0.9,48.2,146.2,54.4,38,19.8,9.6,0.18,0.042,11.07,56.7
