region,spot,year,month,day,half,pollution,depth,WT,DO,pH,EC,sand,silt,clay,moisture,combustible,COD,TOC,TN,TP,SRP,Pb,Zn,Cu,Cr,Ni,As,Cd,Hg,Al,Li
Han,괴산댐3,2016,6,16,first,normal,2.9,22,8.9,7.1,200,13.5,84.5,2,48,8.66,2.27,2.18,2448,501,0,30.7,171.4,43,77.2,44.2,9.7,0.56,0.043,7.68,57.2
Han,소양강댐1,2016,6,1,first,normal,92,22,9.7,7.6,84,8.6,41.6,49.9,60.2,10.05,2.66,2,2647,757,0,43.8,126.2,44.5,92.9,51.8,22.5,0.47,0.083,6.52,69.9
Han,소양강댐2,2016,6,1,first,verybad,77.5,24,9.2,7.8,85,19.1,68,12.9,54.3,13.93,5.29,6.61,5040,649,0,40.1,126.2,57.5,130.1,65.5,17.2,0.31,0.08,7.67,51
Han,소양강댐3,2016,6,1,first,normal,52.5,23,9.6,8,84,0,86,14,50.4,7.75,1.86,2.5,3002,744,0,34.4,110.4,36.9,85.2,42,13.3,0.26,0.069,8.16,55.6
Han,소양강댐4,2016,6,2,first,normal,1.2,27,9.6,8.2,134,90.1,9.9,0,20.7,0.55,0.06,0.18,404,211,0,26.9,72.5,16.3,67.5,23.8,4.8,0.38,0.02,7.46,28.5
Han,소양강댐5,2016,6,2,first,normal,17.8,24,9.6,7.8,92,66.7,32.9,0.4,30.6,4.21,1.19,1.29,1284,451,0,29.7,77.5,22.3,77,25.8,6.8,0.45,0.038,6.67,39.7
Han,아산호1,2016,6,29,first,normal,7.4,23,10.9,8,981,0.8,66,33.2,69.5,10.32,3.24,1.91,3522,966,0,30.8,140.7,41.3,86.3,43.2,13.5,0.23,0.058,7.77,75
Han,아산호2,2016,6,29,first,normal,3.7,24,14.2,8.4,960,20,78.7,1.3,33.9,3.4,1.1,0.7,1195,581,8.5,21.1,76.1,17.7,58.1,19.9,6.4,0.54,0.023,5.99,38.7
Han,아산호3,2016,6,29,first,verybad,2.6,24,10.8,7.9,925,13.3,78.6,8.1,57,9.37,3.11,2.2,3067,2551,23.1,35.5,217.8,61.5,74.7,34.9,9.1,0.67,0.091,6.77,51
Han,충주댐1,2016,6,9,first,normal,54.8,23,10.5,7.9,229,0,46.8,53.2,60.8,9.39,2.12,1.72,2088,944,0,43.1,156.2,42.9,80.7,40,23.8,0.45,0.082,8.37,69.4
Han,충주댐2,2016,6,9,first,slightlybad,23.5,23,10.3,8.2,238,15.2,74.6,10.2,43.8,8.53,1.9,2.54,2105,729,8.2,32,118.9,35.3,65.2,29.9,19.7,0.52,0.111,8.83,56.3
Han,충주댐3,2016,6,9,first,normal,32,22,10.5,7.5,224,0,67.7,32.3,55.9,8.81,1.9,2.01,2715,860,5.3,39.1,136.6,39.1,75.7,36.8,23.6,0.39,0.081,8.31,74.7
Han,충주댐4,2016,6,9,first,normal,17,22,8.9,7.9,274,47,51.3,1.7,33.4,5.34,1.53,3.15,2459,655,11.5,29.4,95.4,26.6,54.5,23.9,13.9,0.44,0.047,8.64,51.9
Han,충주조정지댐1,2016,6,15,first,normal,9.8,21,13.9,8,276,37.5,58.7,3.8,44.1,8.6,2.57,2.29,2297,674,7.6,30.6,142.3,35.8,79.8,34.7,11.6,0.47,0.044,7.84,48.3
Han,충주조정지댐2,2016,6,15,first,normal,6.7,20,14,8.3,281,63.2,35.5,1.3,42.2,7.17,1.94,2.41,1968,673,11.9,27.8,134.9,30.9,71,29.9,9.7,0.41,0.037,8.27,41.2
Han,팔당댐1,2016,6,24,first,normal,9.3,27,11.7,8.8,292,49.4,45,5.6,40.8,4.6,1.2,0.67,806,350,7.1,36.3,134.4,35.3,71.2,29.3,10.8,0.39,0.074,8,66.7
Han,팔당댐2,2016,6,28,first,normal,2.4,26,10.2,8.1,315,71.4,28.6,0,36,6.67,1.52,1.74,1495,576,0,32.2,117.6,43.5,98.2,40.9,10.5,0.3,0.034,4.58,53
Han,팔당댐3,2016,6,24,first,normal,9.4,27,12.8,8.9,285,29.5,64.6,5.9,47.3,8.44,2.08,1.75,1935,665,7.1,33.2,132.8,34.1,71.6,28.1,9.6,0.29,0.058,9.2,60.2
Han,팔당댐4,2016,6,28,first,normal,9.2,26,9.2,8.2,280,79.5,20.4,0,25.9,2.2,0.52,0.6,753,303,4.1,37.5,122.2,42.5,84.8,35.9,10.2,0.39,0.092,5.21,42.7
Han,화천댐1,2016,6,23,first,bad,36,26,8.7,8.1,116,0,63.6,36.4,59.9,9.3,2.61,2,2702,666,0,47.3,142.8,61.2,90.3,52.7,25.8,0.36,0.336,9.28,52.6
Han,화천댐2,2016,6,23,first,bad,41,22,9.1,7.8,116,13.9,66.1,20,54.5,8.58,2.15,1.72,2136,546,0,52.3,142.8,64.3,93.1,52.5,25.5,0.41,0.359,8.43,53.3
Han,화천댐3,2016,6,23,first,bad,31,25,9.1,7.8,120,0,75,25.1,53.5,8.42,2.39,2.01,2609,630,0,51.8,148.7,60.8,99.3,53.4,24,0.44,0.362,8.64,53.7
Geum,경천지1,2017,3,15,first,verybad,13.3,8,12.9,7.8,133,3.4,82,14.6,66,13.55,3.74,3.86,4532,1852,6.7,44,148.9,47.6,80.5,45.1,25.4,0.31,0.074,9.01,58.3
Geum,경천지2,2017,3,15,first,normal,6.8,8,12.7,7.5,133,28,70.2,1.8,46.1,7.74,2.23,2.27,2670,661,0,23.3,105.3,34,73.1,32.6,14.7,0.19,0.045,9.03,37.6
Geum,금강하구1,2017,3,13,first,normal,1.3,8,13.7,9.1,493,38.3,61.7,0,32.3,3.59,0.57,0.58,1220,437,4.2,24.7,84.5,17.8,61,18.7,7.4,0.17,0.036,7.61,42.3
Geum,금강하구2,2017,3,13,first,normal,4.5,8,14.3,9.1,490,79.5,20.5,0,28.9,2.83,0.56,0.76,1337,526,4.1,29.7,87.9,22.6,63.1,20.2,9,0.18,0.036,7.66,40.1
Geum,금강하구3,2017,3,13,first,normal,8.1,8,14.9,9.4,478,83.3,16.7,0,29.2,3.03,0.52,0.74,1553,619,5.2,42.1,120.1,40.1,65.6,22,10.4,0.26,0.043,8.18,40
Geum,대아지1,2017,3,17,first,normal,34,5,15.4,7.4,63,0,51.8,48.2,60,10.91,2.75,2.23,2993,611,0,43.9,126.8,22.5,43.8,20.8,17.4,0.32,0.076,10.2,58.9
Geum,대아지2,2017,3,17,first,normal,33.2,6,15.4,7.4,63,5,59.4,35.6,55,10.21,2.35,2.17,2879,524,0,42.8,119.4,19.1,41.5,19.2,14.2,0.32,0.071,9.99,56
Geum,대아지3,2017,3,17,first,normal,27.1,6,14.4,7.5,63,3.4,73.4,23.2,49.1,8.97,2.21,2.06,2573,425,0,40.3,112.9,18.2,40.7,17.7,11.5,0.33,0.067,9.39,52.2
Geum,보령댐1,2017,3,30,first,normal,20.6,8,13.4,7.7,133,1.6,64.5,33.9,62.3,11.06,2.92,2.85,3298,1115,0,42.2,151.6,37.7,84.1,42.8,22.9,0.34,0.068,9.65,55.6
Geum,보령댐2,2017,3,30,first,normal,8.3,8,12.7,7.7,136,2.9,72.8,24.3,60.4,11.44,3.06,2.86,3175,1163,0,40.2,163.3,36.2,87.7,42.6,18.8,0.32,0.066,10.29,58
Geum,보령댐3,2017,3,30,first,normal,3.3,11,11.3,7.4,237,17.3,75.4,7.3,48.9,9.45,3.01,3.93,2717,649,0,37.6,139.3,38.8,79.6,34.4,12.7,0.31,0.057,9.24,44
Geum,부안댐1,2017,3,29,first,normal,23.9,8,13.3,7.2,52,9.7,67.2,23.1,56.8,9.75,2.93,2.39,2690,363,0,35.3,114.7,17.9,38.3,15.6,7.8,0.28,0.08,7.49,41.1
Geum,부안댐2,2017,3,29,first,normal,8.7,9,12.9,7.2,82,2.2,76.3,21.5,48.9,8.62,2.41,2.23,2366,446,0,32,93.2,17.4,38.8,14.9,6.7,0.25,0.072,8.36,37.6
Geum,부안댐3,2017,3,29,first,normal,5.4,10,12,7.5,84,6.7,80.3,13,52.3,11.14,3.94,3.84,3400,389,0,31.5,91.5,15.6,38.3,13.9,5.9,0.29,0.074,8.23,36.5
Geum,삽교호1,2017,3,22,first,normal,4.9,8,15.8,8.8,916,32.7,65.3,2,32.2,3.58,0.62,0.68,1284,673,7.2,25.4,97.3,34,59.3,20.3,5.8,0.1,0.02,7.61,38.7
Geum,삽교호2,2017,3,22,first,slightlybad,9.1,9,13.6,8.9,852,15.3,79.4,5.3,52.1,8.76,2.21,1.64,2379,1549,16.4,34.6,205.2,61.6,80,32.1,8.2,0.2,0.06,9.6,57
Geum,삽교호3,2017,3,22,first,normal,6.5,10,10.7,9.3,531,34.6,54.8,10.6,56.3,8.33,1.62,1.3,1899,1164,11.8,34.5,176.5,44.6,80.3,35.2,11.6,0.2,0.034,11.02,66.4
Geum,예당지1,2017,3,21,first,slightlybad,6,8,11.4,8,316,14.9,69.9,15.2,58.4,11.77,2.56,2.27,3108,1055,5.4,35.2,154.3,46.9,124.5,55.1,17.6,0.22,0.059,10.93,46.8
Geum,예당지2,2017,3,21,first,slightlybad,4,10,11.3,8,322,16.5,78.5,5,54.1,9.89,2.33,2.07,2758,1051,6,38.2,162.3,48.8,146.6,57.5,17.8,0.22,0.046,11.15,47.4
Geum,예당지3,2017,3,21,first,slightlybad,5.2,9,11.3,8,320,15.8,79.4,4.8,48.1,9.1,1.84,1.64,2335,785,0,31.7,129.7,41.6,137.7,55.3,20.3,0.18,0.062,10.74,44.3
Geum,용담댐1,2017,3,27,first,normal,40.6,5,11.3,8,125,8.2,62.5,29.3,65.8,12.49,2.9,2.4,3421,1113,0,40.7,157,34.2,65.1,35,22.4,0.43,0.08,9.3,71.9
Geum,용담댐2,2017,3,27,first,normal,37.7,6,11.5,8,130,7.9,55.1,37,64,12.55,2.7,2.25,3051,1106,0,54.7,188.1,46.2,57.3,30.1,19.2,0.37,0.073,9.85,77.5
Geum,용담댐3,2017,3,28,first,normal,28.4,6,12.7,8.1,130,14.2,55.1,30.7,55.8,11.72,2.28,1.86,2710,957,0,41.9,158.7,55.8,61.3,31.2,20.2,0.29,0.08,10.15,79.2
Geum,용담댐4,2017,3,28,first,normal,8,8,12.2,7.8,178,63.4,35.8,0.8,42.1,8.38,2.09,2.16,2235,791,0,28.6,116.4,25.5,52.8,19.4,8.3,0.19,0.035,9.85,60.7
Geum,탑정지(논산지)1,2017,3,14,first,normal,12,7,12.9,7.7,146,34.4,50,15.6,57.8,10.32,2.43,1.74,2238,830,0,39.6,154.3,33.7,62.4,31.6,23.7,0.27,0.06,10.46,59
Geum,탑정지(논산지)2,2017,3,14,first,normal,6,9,13.3,8,147,51.8,46.8,1.4,41,7.7,2.09,1.88,2045,598,0,33.4,154.5,34.2,54.9,24.2,13.8,0.32,0.057,8,44.8
Nakdong,남강댐1(진양호),2017,4,4,first,normal,14.9,14,11,6.7,144,29.6,60.5,10,52.9,9.61,2.2,1.99,2865,902,0,25.7,142.2,25.2,74.6,34.9,7.6,0.29,0.063,8.4,42.6
Nakdong,남강댐2(진양호),2017,4,4,first,normal,8.4,14,11.1,6.3,126,21.5,67.5,11,48.2,10.48,2.5,2.52,2736,846,0,23.5,171.6,27.5,99.4,39.6,7.4,0.39,0.059,8.99,38.5
Nakdong,남강댐3(진양호),2017,4,4,first,normal,8.8,13,10.5,7,153,28.7,64.1,7.2,39.3,7.66,1.55,1.47,1858,676,0,20.8,90.1,13.2,49.8,30.3,3.4,0.22,0.039,5.95,25.2
Geum,대청댐1,2017,4,5,first,verybad,19.7,9,14.5,7.9,160,2.9,79.1,18,62.7,13.48,3,2.3,3489,1093,0,76,161.4,45.9,66.4,37.2,19.9,0.43,0.081,10.07,65.3
Geum,대청댐2,2017,4,6,first,verybad,44.1,6,12.2,7.6,162,5.5,56.5,38,70.7,14.04,3.57,2.38,3393,1407,0,199.2,237.3,114.9,73.2,44.5,32,0.74,0.091,10.95,75.4
Geum,대청댐3,2017,4,6,first,normal,16.4,11,12.4,8,162,14,79.4,6.6,54.7,10.18,2.26,1.87,2462,925,0,40.1,156.7,53.3,78,38.8,14.4,0.38,0.09,10.69,64.2
Geum,대청댐4,2017,4,4,first,normal,16.8,11,13.2,8,180,23,66.9,10.1,61.4,11.45,3.39,2.63,3563,1164,0,40.4,219.8,43,63.4,29.6,14.7,0.5,0.076,11.19,62
Geum,대청댐5,2017,4,5,first,slightlybad,28.3,8,14.9,7.8,165,0.6,74.8,24.6,56.5,11.02,2.76,1.94,2849,1154,0,49,231.3,43.2,68.7,39,21,0.82,0.084,11.01,73.3
Geum,대청댐6,2017,4,4,first,normal,13.2,10,13.1,7.8,203,4.8,88.2,7,51.7,9.42,2.5,2.21,2663,1091,0,40.9,220.2,41,63,33.7,12.2,0.42,0.059,9.73,63.8
Nakdong,안동댐1,2017,4,25,first,bad,51.8,14,11.6,7.8,188,12.1,69.4,18.5,61.2,10.09,3.02,2.28,3661,1245,0,75.1,560.1,46.2,61.1,38.6,79,5.77,0.169,9.79,68.6
Nakdong,안동댐2,2017,4,25,first,verybad,42.3,16,10.9,8.1,190,11.9,65.5,22.6,62.3,10.19,2.41,2.18,3324,1114,0,79.6,607.9,46.6,71.9,39.4,91.4,9.11,0.191,10.42,69.3
Nakdong,안동댐3,2017,4,25,first,bad,36.7,16,10.8,8.1,206,13.8,63.5,22.7,55.9,9.5,2.42,1.53,2168,798,0,75.6,486.2,45.5,68.9,46.8,86.2,6.02,0.179,7.94,65.8
Nakdong,임하댐1,2017,4,18,first,slightlybad,45.8,15,8.4,7.8,199,1.1,70.7,28.2,60.9,7.74,2.07,1.48,2487,814,0,33,138.1,29.7,86.2,44.7,22.5,0.34,0.148,7.96,57.1
Nakdong,임하댐2,2017,4,18,first,slightlybad,23.7,15,8.9,7.8,194,4.1,82.5,13.4,62.8,7.56,2.17,1.64,2637,728,0,31.2,146.7,29.9,76,35.5,16.8,0.29,0.13,8.39,61.2
Nakdong,임하댐3,2017,4,18,first,normal,16.1,15,8.1,7.9,209,25.7,62.9,11.4,55,10.25,2.61,2.31,3117,710,0,26.8,129.7,30.6,89.1,36.7,12.2,0.45,0.074,7.71,45.1
Nakdong,합천댐1,2017,4,11,first,normal,62.4,14,12.1,7.6,120,24.7,60.8,14.5,61.5,11.18,3.27,2.08,2773,1092,0,29.9,152,45.3,83.3,49.4,9.8,0.45,0.089,9.04,36.4
Nakdong,합천댐2,2017,4,11,first,normal,53.7,13,12.2,8.2,125,8.8,65.9,25.3,57.7,10.27,2.58,2.31,3260,936,0,32.9,145.2,24.9,47.4,26.8,9.2,0.47,0.077,10.09,38.5
Nakdong,합천댐3,2017,4,11,first,normal,36.1,11,12.4,8,130,9.8,68.1,22.1,53,10.41,2.45,1.36,2270,686,0,30.5,142.3,24.3,45.1,21.3,7.1,0.34,0.069,7.3,40.3
Han,경포호1,2017,5,25,first,normal,1,19,9.3,7.8,29953,1.1,78.2,20.6,59.7,10.07,2.51,2.28,2594,519,9.9,26.1,112.5,11.9,46.3,17.5,7.3,0.16,0.036,11.84,109
Han,경포호2,2017,5,25,first,normal,1,20,9.1,7.7,32117,6.6,79,14.4,61.7,11.78,3.02,2.26,2996,528,4.1,28.5,115.9,12.4,42.7,17,7.5,0.19,0.043,11.76,101.8
Han,광동댐,2017,5,25,first,normal,16.2,15,12.4,8.6,163,0.3,78.6,21.1,46.5,7.35,1.73,1.56,2239,908,0,35.8,98.4,41.4,85.9,41.7,25.5,0.36,0.084,10.16,59.1
Yeongsan,광주댐1,2017,5,17,first,normal,17,20,9.6,7.8,90,10.6,78.3,11.1,61,11.56,5.27,3.41,4663,1011,0,50.5,159,56.8,53,26.3,10.2,0.32,0.088,9.34,41.4
Yeongsan,광주댐2,2017,5,17,first,normal,8.5,20,9.4,8.1,90,13.8,79.5,6.7,52.1,11.38,4.6,3.18,3115,909,0,43.2,146.5,30.9,48.2,21,5.7,0.34,0.083,9.72,36.6
Yeongsan,나주댐1,2017,5,10,first,normal,16,19,10.5,8.9,104,11.9,74.8,13.3,43.6,11.22,3.79,3.23,4669,948,0,34.6,114.3,41,35.5,17.1,20.7,0.25,0.067,9.27,51.5
Yeongsan,나주댐2,2017,5,10,first,normal,6.8,19,10.4,9,100,38.6,57.5,4,39.4,7.82,2.66,2.18,2731,461,0,26.7,74,20.8,29.3,10.8,9.5,0.26,0.053,7.14,48.1
Yeongsan,동복댐1,2017,5,16,first,slightlybad,22,17,10.3,7.9,81,11.6,81,7.4,59.8,11.8,3.6,2.99,4278,954,0,30.3,105.5,99.7,45,20.6,17.9,0.26,0.068,8.87,51.1
Yeongsan,동복댐2,2017,5,16,first,normal,18.3,18,11,8.7,83,14.1,75,10.9,47.3,10.73,3.2,2.6,2574,871,0,31.5,113.7,41.2,59.6,24.4,9.9,0.31,0.062,9.05,58.1
Yeongsan,보성강댐1,2017,5,19,first,slightlybad,4.3,24,10.5,8.6,158,31.6,63.6,4.8,46.6,9.6,1.97,2.01,2341,836,0,31.7,154.9,40.3,106.1,57.2,17.2,0.23,0.068,11.29,64.6
Yeongsan,보성강댐2,2017,5,19,first,slightlybad,3.4,23,12.1,8.7,164,94.4,5.6,0,25.1,1.52,0.15,0.36,603,446,0,33,164,43.5,102.8,56.9,17.1,0.27,0.07,11.61,66.2
Yeongsan,섬진강댐(옥정호)1,2017,5,31,first,normal,35.8,23,10.4,8.6,151,20.8,71.7,7.5,59.6,9.51,2.77,2.45,3782,888,0,25.4,117.9,34.7,46,21.9,12.1,0.3,0.058,9.77,49.2
Yeongsan,섬진강댐(옥정호)2,2017,5,31,first,normal,31,23,10.7,8.5,154,21.6,70.7,7.8,55.4,12.02,3.16,2.45,3982,957,0,30.4,127.2,36,51.3,25,14,0.27,0.062,10.31,58.4
Yeongsan,섬진강댐(옥정호)3,2017,5,31,first,normal,18,23,11,8.6,169,21.3,69.7,9,58.3,10.83,3.03,2.13,3369,930,0,36.9,137.2,39.4,60,28.4,17.8,0.23,0.06,10.36,71.4
Han,소양강댐1,2017,5,29,first,normal,83,21,9.3,8.6,94,0,35.4,64.6,62.8,10.35,3.07,2.32,2883,880,0,40.1,119.3,37.7,88.1,50.1,26.6,0.38,0.08,10.76,56.5
Han,소양강댐2,2017,5,29,first,normal,67.7,21,9.2,8.2,86,11.5,55.5,33,52.7,10.83,3.22,2.6,3246,895,0,34.4,115.4,36.2,92.7,49.5,15.2,0.3,0.07,10.24,49.3
Han,소양강댐3,2017,5,29,first,normal,42.5,22,8.9,8.1,88,0.3,78.8,20.9,52.7,8.87,2.24,2.07,2795,817,0,31.5,103.9,29.3,75.4,42.2,12.5,0.25,0.056,10.93,46.7
Han,소양강댐4,2017,5,30,first,normal,0.9,23,9,8.8,121,81,19,0,20.3,0.57,0.05,0.15,388,236,0,28.1,93,26,68.6,38.9,10.7,0.23,0.08,8.9,42.9
Han,소양강댐5,2017,5,30,first,normal,9.4,23,9.5,8.1,116,69.1,30.3,0.7,22.4,2.1,0.63,1.01,1370,495,0,23.5,80.4,23,55,33,8.5,0.2,0.047,9.23,36.4
Yeongsan,수어댐1,2017,5,11,first,normal,22.2,20,10.3,8.5,108,19.5,69.6,10.9,51.5,11.5,4.42,4.39,3765,829,0,28.5,126.2,39.6,83.5,45.5,12.9,0.2,0.084,11.51,60
Yeongsan,수어댐2,2017,5,11,first,normal,11.6,20,10.7,8.7,109,11.5,78.5,10.1,48.1,11.49,4.5,3.58,3295,788,0,27.3,124.5,35.2,82.7,41.9,10.7,0.17,0.09,11.02,56.9
Han,의암댐1,2017,5,16,first,normal,10.8,16,10.5,8.1,111,44.5,52.5,3,45.8,8.63,2.94,2.89,2722,767,0,33.7,133.1,35.8,69.2,33.4,7,0.3,0.054,9.27,44.6
Han,의암댐2,2017,5,16,first,normal,7.7,16,10.7,8,114,70.5,29.5,0,20.8,1.9,0.3,0.19,436,336,0,29.3,103.4,29,88.4,37.1,8.7,0.22,0.023,8.94,37.4
Han,의암댐3,2017,5,16,first,normal,7.3,16,10.5,8,109,61.7,38.4,0,32.5,3.52,0.61,1.5,1658,677,0,29.4,137.8,28.5,105.9,41.2,6.8,0.27,0.027,9.47,41.3
Yeongsan,주암조정지댐1,2017,5,12,first,normal,37.7,19,9.9,7.9,80,13.7,78.2,8.2,59.4,11.69,4,2.72,3678,1041,0,30.2,124.8,45.4,72.4,42.5,17.1,0.25,0.093,11.88,57.4
Yeongsan,주암조정지댐3,2017,5,12,first,normal,27.4,18,10.2,8.7,81,12.2,78,9.8,51.7,11.03,3.35,2.75,3026,871,0,30.3,136.4,43.3,73.3,37.8,14.3,0.21,0.076,11.43,55.7
Han,청평댐1,2017,5,19,first,normal,25.4,19,10.6,8.3,107,17,72.2,10.8,50.2,8.49,2.55,1.99,2306,768,0,34.9,123.6,38.9,84.6,42.3,12.3,0.3,0.077,10.21,47.1
Han,청평댐2,2017,5,19,first,normal,16.5,19,10.1,7.8,113,54,44,1.9,36,5.87,1,2.93,2687,756,0,34.8,115.8,34.1,79.2,37.4,10.9,0.29,0.043,8.62,39.4
Han,청평댐3,2017,5,19,first,normal,6.3,19,10.3,7.9,115,64.1,35.3,0.7,29,3.68,0.65,1.52,1604,647,0,34.8,110.2,30.2,84,36.4,10.9,0.25,0.043,8.77,36.1
Han,춘천댐1,2017,5,16,first,normal,23.8,18,10.6,8.7,121,17.4,76.9,5.7,47.9,10.48,3.03,3.47,3391,772,0,32.6,125.2,50.4,96.2,49.5,18.3,0.33,0.072,10.04,65.7
Han,춘천댐2,2017,5,16,first,slightlybad,33.3,18,10.8,8.6,120,10.9,71.3,17.7,52,10.52,1.75,2.47,2876,900,0,42.9,149.9,56.8,103.8,58,22.4,0.37,0.141,10.86,71.9
Han,춘천댐3,2017,5,16,first,normal,15.7,18,9.7,8.4,122,37.7,61,1.3,45.4,7.59,2.31,2.3,2384,598,5,38.5,124.4,42.2,83.9,44,20,0.27,0.057,9.42,75
Han,횡성댐1,2017,5,23,first,normal,26.7,19,9.9,8.2,143,6.7,69,24.3,56.4,10.63,2.57,3.1,3479,938,0,36.4,115.2,19.1,48.8,21.9,10.4,0.37,0.067,10.2,63.7
Han,횡성댐2,2017,5,23,first,normal,17.5,22,9.2,8.1,146,1.3,79.7,19.1,52.8,9.65,2.1,2.61,3142,820,0,29.2,89.8,18.4,47.5,22.1,9.5,0.24,0.049,10.25,57.9
Han,괴산댐1,2017,6,29,first,slightlybad,14.8,27,8.2,8.1,185,1.5,80.4,18.1,53.5,11.31,5.4,4.18,4124,777,0,29.4,155.8,36.7,71.5,41.4,13.4,0.75,0.048,8.44,49
Han,괴산댐2,2017,6,29,first,normal,1.7,27,9.5,8.4,187,15.3,81.1,3.6,35.7,7.77,2.12,2.15,2592,608,0,23.1,127.2,34.4,73,39.7,9.5,0.55,0.041,7.84,42.4
Han,괴산댐3,2017,6,29,first,bad,1.7,29,8.6,8.1,184,66.7,32.2,1.1,22,1.26,0.51,0.47,997,213,0,27.7,210.1,36.4,78.2,51.6,10.7,3.41,0.044,8.88,44
Yeongsan,담양댐1,2017,6,9,first,normal,22.6,22,9.7,8.4,71,21.6,72.5,5.9,57.9,10.37,2.98,2.02,3021,512,0,42.4,132.6,56.6,40.2,18,6.8,0.49,0.057,10.18,43.9
Yeongsan,담양댐2,2017,6,9,first,normal,9.1,22,9.8,8.1,73,14.6,81.1,4.4,56.2,12.28,4.23,2.99,4054,686,0,28.3,134.9,35.6,55.5,26.9,6.8,0.17,0.078,11.65,61.7
Yeongsan,동화호,2017,6,12,first,slightlybad,37.6,22,8.9,8.5,77,5.3,83,11.7,42.4,8.55,2.23,1.73,2215,632,0,31.8,133.4,39.1,114,42.1,13.2,0.19,0.068,10.33,75.4
Han,아산호1,2017,6,28,first,normal,7.4,25,10.2,8.7,1444,0,57.2,42.9,57.3,7.57,2.5,1.3,2530,1407,6.2,34.6,141.4,35.4,89.7,45.7,13.9,0.15,0.043,9.23,65.9
Han,아산호2,2017,6,28,first,normal,4.7,27,16.3,9.1,1433,17.5,82,0.4,30.5,3.58,0.83,0.6,1233,757,9.4,23.9,98,20.6,66.6,24.9,6.5,0.14,0.03,6.29,32.4
Han,아산호3,2017,6,28,first,normal,4.2,30,17,9.3,1484,5.6,73.6,20.8,56.2,4.71,3.04,1.19,2129,1498,14.6,31.5,199.7,50.5,75,36,8.9,0.38,0.089,8.04,38.7
Yeongsan,영산호1,2017,6,8,first,normal,9.6,22,9.5,8.1,2074,6.5,84.5,9.1,47.9,7.77,1.66,1,1587,933,11.2,28.6,117.2,25.5,65.9,28.7,10.1,0.16,0.037,9.78,70.6
Yeongsan,영산호2,2017,6,8,first,normal,12.2,22,8.7,7.9,1483,9.2,81.5,9.3,53.8,9.36,2.45,1.25,1701,871,9.1,30.7,125.4,26.3,64.8,27.7,9.9,0.14,0.041,10.04,70
Yeongsan,영산호3,2017,6,8,first,normal,11,22,7.9,8.1,867,14.9,78,7.1,53.3,9.9,2.48,1.54,1855,547,10.8,29.6,146.8,26.4,61.2,26.4,10,0.19,0.05,10.21,66.1
Yeongsan,장성댐1,2017,6,1,first,normal,19.7,24,10.2,8.7,105,22.2,73.3,4.5,69.2,12.66,5.72,3.76,4043,1108,0,31.9,118,32,60.2,29.7,9.2,0.34,0.073,9.37,59.1
Yeongsan,장성댐2,2017,6,1,first,normal,17.1,23,10.5,8.4,105,18.6,74.7,6.7,64.5,11.49,4.94,3.56,4350,1194,0,37.2,134.9,52.1,60.3,32.7,8.4,0.4,0.073,8.52,63.1
Yeongsan,장흥댐1,2017,6,13,first,normal,22.4,22,10,8.1,82,20.3,67.2,12.5,28.7,6.76,0.83,2.16,2917,583,0,26,102.2,22.4,44.1,17.6,15.1,0.18,0.056,9.09,48.4
Yeongsan,장흥댐3,2017,6,13,first,normal,7.6,23,9.9,8.1,81,30.2,61.1,8.7,37.6,7.73,3.06,2.07,2491,487,0,27.3,97,20.3,41,16.5,10.8,0.32,0.058,8.67,46.2
Yeongsan,장흥댐4,2017,6,13,first,normal,16.3,24,9.8,7.9,82,16,77,7,41.4,8.5,1.79,2.23,2726,470,0,24,84.8,21.3,37.1,14.9,8.5,0.18,0.054,8.59,41.7
Yeongsan,주암댐1,2017,6,5,first,normal,33.4,23,8.8,7.5,83,21.4,73.9,4.7,44.3,8.73,3.53,2.37,2698,664,0,33.1,106.3,35.6,71.4,38.7,16.2,0.2,0.066,9.85,55.7
Yeongsan,주암댐2,2017,6,5,first,normal,18,23,9.2,7.3,80,15.4,76.4,8.2,59.8,11.82,3.97,2.57,3233,944,0,35.7,121.7,39.7,88.1,49.3,16.5,0.22,0.08,11.46,68.9
Yeongsan,주암댐3,2017,6,5,first,slightlybad,9.7,24,9.9,8.6,91,14.9,78,7.1,53.3,11.88,2.99,2.29,2870,890,0,33.2,132.4,40.3,100.1,56.3,26.3,0.28,0.074,11.34,69.7
Han,충주댐1,2017,6,7,first,normal,51.4,21,9.2,8.6,258,0,48.3,51.8,61.8,10.06,2.34,2.02,2946,1129,4,42.3,146.5,42,76.5,43.3,28.8,0.42,0.077,10.71,63
Han,충주댐2,2017,6,7,first,normal,21.5,22,8.2,8.5,283,4.3,84.1,11.5,48.7,8.44,1.97,2.55,2791,949,9.2,42.8,143.7,37.3,75.7,36.3,24.2,0.47,0.069,9.55,61.5
Han,충주댐3,2017,6,7,first,normal,38,21,9.1,8.7,261,0,66.3,33.7,58.9,9.33,2.41,2.12,2679,955,6.4,38,128.2,38.9,75.9,41.7,26.8,0.43,0.076,10.54,62.4
Han,충주댐4,2017,6,7,first,normal,9.3,22,8.4,8.4,289,17.6,75.9,6.5,46.5,6.06,1.83,2.56,1936,764,7.9,36.3,130,29.9,63.4,29.5,21.1,0.47,0.06,8.08,50.5
