site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
광주2-1,Nov-17,7.3,10.8,5.3,9.2,10.9,9.258,0.1,5.4,13.9,518,23350,9.001,3.908,3.606,0.036,0.01,68.4,7425,31.5
광주2-1,Dec-17,7.4,11.5,8.4,10.7,19.2,10.065,0.196,6.1,8.4,539,335750,9.53,5.974,2.222,0.059,0.032,57.5,207550,44.9
광주2-1,Jan-18,7.3,12.3,4.5,10.5,14.7,10.623,0.113,5.7,8.5,489,101000,10.071,5.629,2.585,0.045,0.016,66.1,22200,11.7
광주2-1,Feb-18,7.6,12.4,4.1,11.2,11.3,13.092,0.161,6,8.5,465,123500,12.628,9.924,1.76,0.084,0.057,41,54800,41.9
광주2-1,Mar-18,7,9.5,7,11.5,26.9,8.196,0.257,6.1,13.3,329,265250,7.764,5.222,1.448,0.121,0.107,41.1,52210,7.8
광주2-1,Apr-18,7.3,10.3,7.1,10.7,41.7,7.347,0.162,4.8,16.4,336,184000,7.112,4.216,1.451,0.077,0.051,47.5,54200,8.9
광주2-1,May-18,7.4,11.6,6.2,9.2,33.8,5.893,0.132,4.8,21.4,334,107000,5.383,3.525,1.125,0.062,0.043,61.8,39025,28.1
광주2-1,Jun-18,7.3,11.5,4.5,10,26.2,7.381,0.153,5.7,25.7,342,17700,7.129,4.754,0.989,0.074,0.053,52.7,4300,42.1
광주2-1,Jul-18,7.1,9,5.6,9.3,24.9,7.084,0.172,5.2,26.5,320,53250,6.919,4.855,0.977,0.106,0.091,41.7,26506,211.7
광주2-1,Aug-18,7.6,9.9,5.6,10.2,23.1,7.556,0.181,5.2,29.1,351,102000,7.201,5.148,1.004,0.133,0.094,59.4,54650,273.8
광주2-1,Sep-18,7.2,8.6,2.1,5.9,13.1,3.956,0.148,3.4,24.8,253,24667,3.868,1.887,1.241,0.101,0.08,41.4,16133,108.8
