site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
영산포,2018/12,7.7,9.1,4,6.9,18,4.143,0.089,3.9,8.3,342,5450,3.659,0.972,1.932,0.038,0.01,78.9,524,28.24 
영산포,2019/01,7.6,14.3,4.9,8.1,18.2,6.652,0.102,4.7,6.6,439,198,6.468,1.972,3.596,0.04,0.015,63.6,39,39.56 
영산포,2019/02,7.9,13.4,5.9,11.1,20.9,6.452,0.141,6.1,6.6,374,1400,5.73,1.705,2.545,0.038,0.005,157.7,108,23.82 
영산포,2019/12,7.5,13.5,2.8,7.1,7.3,6.414,0.102,4.1,7.8,433,3990,6.092,2.181,3.199,0.073,0.051,21.3,1870,33.40 
죽산,2017/01,7.3,13.5,3.9,7.8,12.6,4.934,0.104,5.7,5.1,360,126,4.219,0.777,2.975,0.039,0.017,70.6,20,52.25 
죽산,2017/02,7.7,15.4,6.3,10.9,21.5,6.062,0.111,7.6,5.3,424,350,5.467,1.212,3.736,0.023,0.012,98.2,3,46.20 
죽산,2017/12,7.6,13.1,4.1,8.4,11.4,6.218,0.077,6.3,5.4,531,108,5.983,1.854,3.081,0.027,0.01,27.6,26,46.98 
죽산,2018/01,8.1,15.1,6.5,11.8,19.2,6.771,0.137,9,4.3,490,292,6.323,2.66,2.815,0.037,0.021,102.7,9,11.78 
죽산,2018/02,8.5,15,5.5,10.3,12.4,7.686,0.111,7.7,4.2,489,41,7.428,4.539,2.445,0.044,0.015,48.3,6,39.45 
죽산,2018/12,8.4,14.9,5,11.6,26,5.522,0.176,8.9,7,419,3490,5.255,1.429,3.137,0.037,0.028,92,300,28.24 
죽산,2019/01,8.5,16,5.3,11.1,25.2,7.198,0.145,8.9,4.8,448,218,6.743,1.775,4.243,0.041,0.013,93.6,21,39.56 
죽산,2019/02,8.8,16.1,7.1,15.4,31.2,6.292,0.197,11.5,6.3,405,1005,5.885,2.299,2.874,0.047,0.014,134.2,19,23.82 
죽산,2019/12,7.7,10.4,3.6,7.4,5.1,5.832,0.088,6.3,7.9,426,1615,5.653,1.843,3.176,0.065,0.049,20.6,482,33.40 
영산포-1,2017/01,7.3,13.1,3.4,6.7,6.9,4.325,0.094,5,5.4,332,65,4.135,0.724,2.804,0.041,0.016,42.5,20,60.69
영산포-1,2017/02,8,13.9,6.5,11.5,23.6,5.665,0.111,7.6,5,403,60,5.032,0.809,3.73,0.024,0.008,132.1,1,43.47
영산포-1,2017/12,8.1,10.9,2.6,7.2,7.8,5.655,0.071,5.7,6,496,36,5.602,1.297,3.172,0.044,0.011,17.7,3,45.27
영산포-1,2018/01,8.3,14.6,7.2,13,20.3,6.551,0.159,9.7,4.1,489,110,5.961,2.274,2.87,0.051,0.017,155.4,7,12.51
영산포-1,2018/02,8.5,14.9,5.7,10.4,13.6,7.818,0.12,8.2,4.4,483,25,7.309,4.195,2.524,0.046,0.02,68.2,1,38.36
영산포-1,2018/12,8.8,14.8,5.1,10.6,23.1,4.971,0.159,9.1,7.2,404,2000,4.633,1.212,2.857,0.043,0.032,111.1,340,34.69
영산포-1,2019/01,8.5,16.3,5.2,10.9,20.9,7.118,0.13,9.6,5,455,140,6.948,1.624,4.116,0.046,0.021,117.5,20,45.87
영산포-1,2019/02,8.9,16.6,6.2,13.4,18.6,6.277,0.157,10.4,5.4,407,300,6.078,2.434,2.854,0.05,0.014,136.5,10,28.37
영산포-1,2019/12,7.8,10.9,3.6,7.3,5.7,5.492,0.091,5.8,8.7,414,3700,5.378,1.965,3.004,0.08,0.058,21.1,280,34.57
함평,2017/01,7.3,12.4,2.9,6.8,9,4.429,0.097,5,5.4,346,70,4.299,0.746,2.91,0.047,0.027,45.8,2,60.69 
함평,2017/02,8.3,13.5,6.5,11,22.4,5.129,0.102,7.4,4.9,385,90,4.534,0.457,3.594,0.024,0.008,128.5,1,43.47 
함평,2017/12,7.9,11.4,2.6,6.7,9.5,5.091,0.067,5.5,6.3,471,12,5.072,1.067,3.135,0.037,0.012,17.5,1,45.27 
함평,2018/01,8.2,13,5.7,11.1,15.3,6.747,0.119,8.4,3.8,474,44,6.38,2.313,3.274,0.049,0.013,105.6,2,12.51 
함평,2018/02,8.6,14.9,5.2,10,12.9,6.701,0.107,7.7,3.8,465,5,6.278,2.794,2.761,0.04,0.015,57.6,2,38.36 
