Code,WT,DO,pH,EC,BOD,COD,TOC,SS,TN,TP,PO4-P,Chl-a,NO3-N,NH3-N,TC,FC,HRT,Toxic CYA,Non-toxic CYA
St 3-32,23.9 ,7.5,7.4,285,2,6.7,4.9,16,2.625,0.084,0.045,18.2,1.873,0.145,2700,109,3.5 ,1575,339
St 3-33,24.5 ,7.9,7.3,228,2,7.4,5.4,10.4,3.267,0.091,0.060,25.1,2.449,0.09,173,20,3.4 ,4491,280
St 3-34,21.4 ,7.3,7.3,177,1.3,6.2,4.3,10.8,2.069,0.067,0.045,7.2,1.576,0.113,3950,308,3.0 ,1128,787
St 3-35,22.3 ,9.5,7.4,176,1.7,6.8,4.7,7.6,2.328,0.058,0.033,20.8,1.866,0.021,400,26,3.2 ,1324,4080
St 3-36,21.9 ,9.2,7.6,201,1.1,6.8,4.4,6.4,2.425,0.047,0.025,27.7,1.87,0.025,750,125,4.5 ,828,2500
St 3-37,20.0 ,9.4,7.3,198,1,7.8,5.4,7.6,2.583,0.082,0.052,22.1,1.989,0.043,2250,67,1.3 ,418,890
St 3-38,18.9 ,10.1,7.5,177,1.9,6.7,4.4,10.8,2.378,0.049,0.032,30.3,1.955,0.025,4450,273,2.9 ,1042,760
St 3-39,18.6 ,10.2,7.8,185,1.6,6.1,4.1,6.4,2.297,0.043,0.007,34.9,1.93,0.016,400,16,5.3 ,1086,560
St 3-40,16.8 ,11.5,8.4,224,1.2,6.5,4.4,11.2,2.304,0.031,0.003,52.4,1.895,0.011,188,16,7.0 ,365,4020
St 3-41,14.0 ,13.1,8.8,240,2.2,6.9,5.1,12.8,2.461,0.024,0.000,84.1,1.825,0.011,45,2,8.1 ,0,2060
St 3-42,13.4 ,13.9,9,252,2.1,6.3,4.7,7.6,2.507,0.016,0.000,32.2,1.887,0.016,42,1,9.7 ,157,1330
St 3-43,13.2 ,11.1,8.1,263,1.3,5.2,3.7,3.6,2.522,0.015,0.000,10,1.916,0.029,43,1,10.7 ,1058,30
St 3-44,10.3 ,10.5,7.7,292,0.9,5.2,3.8,5.2,2.617,0.018,0.005,9,2.109,0.05,65,2,11.3 ,1158,0
St 3-45,8.3 ,12.2,7.9,325,1.6,5.3,4.1,5.2,3.115,0.017,0.000,12.7,2.517,0.055,41,2,10.7 ,4277,110
St 3-46,7.1 ,12,7.8,345,1.2,5.3,3.6,2.2,3.107,0.018,0.000,6.8,2.572,0.057,23,1,11.4 ,2808,0
St 3-47,5.7 ,12.2,8,372,1.3,5.7,3.5,2.8,3.383,0.017,0.000,7.7,2.697,0.072,10,1,12.1 ,602,40
St 3-48,7.2 ,11,7.5,291,1.6,5.9,3.6,7.2,3.376,0.045,0.018,8.2,2.808,0.091,2050,165,7.1 ,143,1819
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
