BOD,COD,SS,T-N,T-P,TOC,NH3-N,Chl-a
4.1,6.2,14.6,3.721,0.1,5.2,0.587,26
3.4,5.3,9.8,4.374,0.116,2.8,0.838,15.6
4.9,7.6,15.2,4.621,0.088,7,0.154,118.9
4.1,7,19.2,5.102,0.129,6,0.937,58.6
5.1,7.5,19.2,3.945,0.109,5.9,0.566,45.7
3.9,6.4,14,3.519,0.099,5.4,0.499,23.7
4,6.7,23.7,2.858,0.116,5.5,0.248,39.7
4.6,8.1,22.4,3.481,0.123,7.3,0.745,41.4
2.9,7.2,27.9,2.324,0.15,5.8,0.239,26.4
3.7,8.9,21.3,2.126,0.141,7.2,0.243,29.1
3.5,7.4,13.5,2.447,0.134,5.7,0.331,24.7
3.4,8.1,34.1,3.149,0.275,5.5,0.355,15.8
3,5.5,14.5,3.727,0.111,4.4,0.404,20.1
3.5,6,9.6,4.374,0.08,5.1,0.573,37.2
2.9,6.8,9,4.429,0.097,5,0.746,45.8
6.5,11,22.4,5.129,0.102,7.4,0.457,128.5
3.9,7.9,12,5.711,0.068,6.2,1.773,18.4
5.6,9.4,10.2,5.336,0.078,7.3,1.643,54.7
3.3,8.9,10.8,3.728,0.059,7,0.79,16.1
3.9,12.5,26.7,3.847,0.096,8.9,0.97,32.3
4,9.5,29.6,3.315,0.13,7.3,1.039,15.7
3.8,7.9,22.2,3.117,0.148,6.2,0.99,20.8
2.9,6.9,14.8,2.144,0.101,5.2,0.152,28.4
3.5,6.4,15.1,2.717,0.085,5.1,0.491,23.8
3.3,7.2,13.7,4.118,0.059,5.7,0.689,33.1
2.6,6.7,9.5,5.091,0.067,5.5,1.067,17.5
5.7,11.1,15.3,6.747,0.119,8.4,2.313,105.6
5.2,10,12.9,6.701,0.107,7.7,2.794,57.6
3,7.9,9.7,7.046,0.102,6.2,3.458,17.5
3.9,7.9,17.9,4.435,0.098,5.9,1.593,32.8
3.6,8.2,14.9,3.502,0.081,6.3,1.051,31.4
4.3,11.9,15.9,3.163,0.085,9,0.776,32.5
4.7,10.5,27.2,2.531,0.118,7.1,0.235,37.8
5.2,14.5,26.7,2.4,0.168,9.7,0.503,40.4
3.6,7.4,20.4,2.591,0.108,5.2,0.21,27.6
3,7.3,17.7,2.558,0.109,6.3,0.187,22.1
3.6,7.5,11.5,3.592,0.099,6.9,1.02,30.5
4.2,10.1,13.1,4.371,0.092,8.1,1.18,67.6
4.7,10.1,17.4,6.836,0.103,8.6,1.333,100.7
6.1,13.1,18.2,6.029,0.132,9.7,1.965,104.4
3.9,8.3,11,5.893,0.108,6.9,2.536,35.8
4.4,9.2,11.8,4.814,0.152,8.1,1.938,59.4
4,8.6,13.5,3.708,0.134,6.5,1.632,32.2
4.7,11.2,19.1,2.979,0.117,8.1,1.019,40.9
3.8,9.6,18.4,2.641,0.121,8.8,0.297,27.7
3.8,8.6,16,1.999,0.119,8,0.305,36.1
2.8,6.9,17.7,2.511,0.128,5.1,0.243,14.1
2.4,5.3,11.2,3.072,0.082,3.8,0.173,12
3.5,7,12.3,3.692,0.047,6.3,0.259,34.8
3.6,7.1,7.4,5.379,0.055,6,1.75,23.8
