연도, 월, 조사회차, 채수 일자, 측정소 명,BOD,COD,T_N,T_P
2022,5,2회차,2022.05.09,광주천2,5.7,8.9,3.801,0.169
2022,5,2회차,2022.05.09,광산,11,12.3,8.756,0.111
2022,5,2회차,2022.05.09,황룡강5,9.5,10,1.659,0.15
2022,5,2회차,2022.05.10,광주1,6.1,11.3,0.799,0.106
2022,5,2회차,2022.05.10,광주2,8.1,9.9,8.48,0.137
2022,5,2회차,2022.05.10,광주3,6.8,10.9,9.107,0.157
2022,5,3회차,2022.05.16,우치,4.5,8,1.095,0.107
2022,5,3회차,2022.05.16,광주천2,5.5,9.4,4.641,0.175
2022,5,3회차,2022.05.16,광산,12,14.7,9.048,0.16
2022,5,3회차,2022.05.16,황룡강5,7.4,10.5,2.282,0.207
2022,5,3회차,2022.05.18,광주1,7.4,13.3,0.777,0.092
2022,5,3회차,2022.05.18,광주2,9.4,11.7,7.917,0.169
2022,5,3회차,2022.05.18,광주3,8.9,13.3,8.8,0.13
2022,5,4회차,2022.05.23,우치,6.1,8.7,1.047,0.115
2022,5,4회차,2022.05.23,광주천2,8.1,11.9,2.405,0.217
2022,5,4회차,2022.05.23,광산,12.5,15.5,6.079,0.2
2022,5,4회차,2022.05.23,황룡강5,6.2,9.3,1.02,0.129
2022,5,4회차,2022.05.25,광주1,8.5,13.6,0.849,0.103
2022,5,4회차,2022.05.25,광주2,6.8,10.4,6.825,0.14
2022,5,4회차,2022.05.25,광주3,9,13,6.851,0.124
2022,5,5회차,2022.05.30,우치,4.5,10.7,1.967,0.157
2022,5,5회차,2022.05.30,광주천2,7.8,12.2,3.202,0.235
2022,5,5회차,2022.05.30,광산,10.6,14.4,4.392,0.195
2022,5,5회차,2022.05.30,황룡강5,8.1,10.3,1.481,0.147
2022,6,1회차,2022.06.07,우치,3.9,10.5,2.174,0.177
2022,6,1회차,2022.06.07,광주천2,7.2,11.2,3.021,0.25
2022,6,1회차,2022.06.07,광주1,2.9,12.3,2.242,0.122
2022,6,1회차,2022.06.07,광주2,7,11.4,4.215,0.147
2022,6,1회차,2022.06.07,광주3,8.9,11.9,4.941,0.295
2022,6,1회차,2022.06.07,광산,5.9,11.1,2.431,0.186
2022,6,1회차,2022.06.07,황룡강5,4.9,9.6,1.289,0.153
2022,6,2회차,2022.06.13,우치,4,9.4,2.079,0.139
2022,6,2회차,2022.06.13,광주천2,8.2,11.3,3.098,0.202
2022,6,2회차,2022.06.13,광산,8,12.5,5.284,0.151
2022,6,2회차,2022.06.13,황룡강5,4.9,8.8,1.399,0.101
2022,6,2회차,2022.06.16,광주1,5.7,12.2,1.861,0.124
2022,6,2회차,2022.06.16,광주2,8.7,12.5,4.376,0.153
2022,6,2회차,2022.06.16,광주3,10.7,13.9,5.571,0.158
2022,6,3회차,2022.06.20,우치,4.7,11.7,1.737,0.139
2022,6,3회차,2022.06.20,광주천2,9.5,14.7,2.999,0.204
2022,6,3회차,2022.06.20,광산,7.9,12.3,4.78,0.167
2022,6,3회차,2022.06.20,황룡강5,4.2,9.4,1.387,0.085
2022,6,3회차,2022.06.21,광주1,4.2,12.3,1.625,0.11
2022,6,3회차,2022.06.21,광주2,12.5,12,7.322,0.414
2022,6,3회차,2022.06.21,광주3,14.9,13.4,8.776,0.752
2022,6,4회차,2022.06.27,우치,3.2,10,2.221,0.168
2022,6,4회차,2022.06.27,광주천2,3.3,7.5,3.046,0.173
2022,6,4회차,2022.06.27,광산,5.2,11.7,3.334,0.177
2022,6,4회차,2022.06.27,황룡강5,7.1,12.8,2.234,0.155
2022,6,4회차,2022.06.29,광주1,5.3,12.3,1.962,0.125
2022,6,4회차,2022.06.29,광주2,9.4,11.8,4.634,0.208
2022,6,4회차,2022.06.29,광주3,13.1,11.5,8.431,0.286
