"p.H","DO","BOD","COD","SS","TN","T.P","TOC","WT","EC","TC","NH3N","PO4P","Chla","FC","Flow"
-0.724892945489844,-1.03883079067092,0.411265866947538,0.216680082835672,0.00447911037321748,0.264732057747494,-0.460757179532787,0.111319885850595,0.520901921600275,-0.0106907856395844,-0.330519105339701,-0.482251697003192,-0.00138607079945896,-0.633744076659805,-0.233512777531987,-0.0834055775555365
-0.300342463947941,-0.412886445847981,0.26883492285388,-0.229605779030625,-0.0412973976410663,0.0554214477608108,-0.954520033405174,-0.291707676586225,0.284370280832744,0.349370015253609,-0.235693099474479,-0.526051202394856,-0.168040701040275,-0.663457190080592,-0.00367766170337628,-0.20210774236124
0.124208017593962,0.296517144951348,-0.585750741708066,-0.408120123777145,-0.00696501663035346,0.155319693436273,-0.0709444001598497,-0.637159872960642,-0.306958821086082,-0.308672138102917,-0.197762697128391,-0.526051202394856,-0.0847133859198668,-0.676191381546644,-0.0802893669795799,-0.283715480665161
0.124208017593962,-1.37266777457648,-0.728181685801724,-0.497377296150404,-0.384621207748196,-0.0809475860183925,-0.850569958905724,-0.752310605085447,-0.306958821086082,-0.110017903127362,-0.501205915897099,-0.474951779437915,-0.376358988841295,-0.69317030350138,-0.271818630170089,-0.335987474040955
0.336483258364913,0.0461394070221729,-0.728181685801724,-0.542005882337034,-0.762277398866038,0.374144422058715,-0.876557477530587,-0.579584506898239,-0.543490461853612,0.399033573997498,-0.444310312377966,-0.56985070778652,-0.418022646401499,-0.637988807148489,-0.306293897544381,-0.391261001164222
-0.0880672231769883,0.171328275986761,1.40828247560314,0.66296594470197,-0.338844699733912,0.0728639985930339,-0.304832067783612,0.226470617975401,-0.780022102621143,0.746678485204719,2.04013104129084,-0.672049553700402,-0.751331906883132,-0.587052041284282,0.366739933307068,-0.308237445054889
0.973308980677769,0.67208375184511,3.33110022086752,3.07290959877998,-0.476174223776764,0.510513455837918,-0.486744698157649,2.99008818897074,-0.661756282237378,1.2929776313875,-0.270494243627015,-0.723148976657343,-0.168040701040275,-0.154089531438525,-0.0929302983501535,-0.309030303025919
0.761033739906817,0.421706013915935,2.26286814016509,2.04645211648749,0.00447911037321748,1.48571061600315,0.630718602711437,0.744648912537026,-0.780022102621143,1.01982805829611,1.71772262134908,-0.75964856448373,-0.0847133859198668,-0.238984141212203,2.76698465961053,-0.345445136981104
0.761033739906817,1.25629847367985,1.62192889174363,1.01999463419501,-0.533394858794619,1.03537566724392,-0.772607403031137,0.399196716162609,-1.2530853841562,1.30539352107347,-0.311553904166656,-0.328953428132369,-0.584677276642315,0.0963495673938248,0.00896326966719732,-0.40553244464277
0.548758499135866,0.797272620809698,0.26883492285388,0.261308669022302,-0.590615493812473,1.91701732749086,0.4488059723374,-0.176556944461419,-1.37135120453997,1.20606640358569,-0.463275513551011,-0.584450542917075,1.29018731356687,-0.0691949216648471,-0.297483551437617,-0.406042139052718
-0.0880672231769883,1.59013545758542,-0.0160269653334352,-0.00646284809747661,-0.396065334751767,1.30969942124162,-0.226869511909024,-0.522009140835836,-1.2530853841562,0.746678485204719,-0.463275513551011,-0.67934947126568,0.415250504802581,-0.11588695704037,-0.310124482808191,-0.310899182529063
-0.937168186260795,1.29802809666805,-0.229673381473922,-0.408120123777145,0.817012127626757,2.26428265769604,1.12448145658382,-0.234132310523822,-1.48961702492373,0.659767257402914,-0.536007060049635,-0.365453015958755,1.6234965740485,-0.124376418017738,-0.325446823863432,-0.300252232632368
-1.7862691493446,1.25629847367985,0.624912283088025,-0.00646284809747661,-0.0527415246446374,1.18284450609817,0.13695574883905,-0.118981578399016,-1.48961702492373,0.610103698659025,-0.525671025410326,0.495937256743967,0.91521439552503,-0.604030963239018,-0.333107994391052,-0.394149269487261
0.761033739906817,1.29802809666805,-0.585750741708066,-0.631263054710294,-0.270179937712486,1.26054314162353,0.786643714460612,-0.80988597114785,-1.6078828453075,0.846005602692497,-0.546058616671349,0.101741708218992,2.16512412233115,-0.654967729103225,-0.336555521128481,-0.367248731184442
-0.0880672231769883,0.964191112762481,-0.514535269661237,-1.12217750276322,-0.705056763848183,2.02801537824137,0.526768528211988,-0.752310605085447,-1.6078828453075,1.35505707981736,-0.532593323838487,0.255039977089816,2.20678777989135,-0.705904494967431,-0.315104243651144,-0.381406909238557
-0.300342463947941,1.54840583459722,0.0551885067133937,-0.809777399456812,-0.31595644572677,1.95665948847319,1.09849393795896,-0.694735239023045,-1.6078828453075,0.63493547803097,-0.495895659568647,1.28432835379392,2.16512412233115,-0.587052041284282,-0.282927327435139,-0.375403841743612
-0.300342463947941,1.54840583459722,-0.300888853520751,-1.07754891657659,-0.796609779876751,1.70453534462559,0.0330056743396003,-1.09776280145986,-1.72614866569127,1.24331407264361,-0.548144788800384,0.328039152742589,2.20678777989135,-0.739862338876903,-0.344982808708863,-0.389335488948862
0.336483258364913,1.13110960471526,-0.229673381473922,-1.389949019883,-0.190071048687489,2.08510009005592,0.578743565461713,-0.579584506898239,-1.2530853841562,0.436281243055415,-0.536101886055501,0.948532145791159,1.70682388916891,-0.306899829031145,-0.315487302177525,-0.368947712550936
0.761033739906817,1.46494658862083,0.197619450807052,-0.765148813270183,0.473688317519628,1.01476174353311,0.422818453712538,-0.867461337210253,-1.48961702492373,0.436281243055415,-0.539136318243188,0.00684277987038715,1.20685999844646,-0.179557914370628,-0.337321638181243,-0.386673751474688
0.973308980677769,1.00592073575068,0.482481338994367,0.082794324275783,0.244805777448208,0.840336235210873,-0.122919437409575,0.399196716162609,-1.01655374338867,0.957748609866247,-0.56350660175055,0.0579422028273283,1.08186902576585,-0.175313183881944,-0.325063765337051,-0.39160079743752
-1.3617186678027,0.880731866786089,0.26883492285388,0.79685170326186,5.36033054804444,1.64745063281104,1.22843153108327,0.284045984037803,-1.13481956377244,-0.345919807160834,-0.0460410877440362,1.97052060492998,0.873550737964826,-0.506402161999288,-0.195206924893885,0.0999145118891496
0.336483258364913,1.08937998172707,0.0551885067133937,-0.675891640896923,-0.0412973976410663,1.17967313321959,-0.148906956034437,-0.637159872960642,-1.13481956377244,0.63493547803097,-0.546722398712405,0.18934071900232,-0.00138607079945896,-0.69317030350138,-0.308592248702667,-0.341650745262601
