사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202209,2호선,역삼,59,2,3713,6684,8343,34800,14699,134678,24707,335656,22277,284341,22820,118991,31409,62522,38704,54387,46023,58186,55654,47530,74179,42795,93307,41295,197917,48649,262576,55394,136796,34153,77884,20134,73530,16527,52998,14837,20978,9144,3592,2934,9,105,0,1,0,0,20221003
202209,2호선,영등포구청,51,0,5023,3002,12122,13310,37381,35193,45975,119432,27463,53070,22114,26219,23115,23058,24996,23210,25469,24451,26896,24084,29216,24435,34948,28772,50756,34759,97961,50846,33806,34112,23925,20044,22285,18473,16636,17264,7514,11937,1241,4110,5,161,0,9,0,0,20221003
202209,2호선,왕십리(성동구청),908,2,6814,981,9901,6032,25691,12420,44924,26837,27838,18947,18829,14177,19366,14494,21398,17048,22420,17689,22273,18188,26240,19804,31574,24441,35990,33640,37857,52691,24518,33246,22863,19896,25620,18139,26257,18088,15593,12883,2696,5068,5,104,0,0,0,0,20221003
202209,2호선,용답,7,0,2366,261,3125,1255,8174,1909,12781,4530,7058,7798,4551,4110,4247,3010,4794,3282,4752,4571,4183,3519,5041,4136,7081,5558,6332,6461,4596,10084,2748,6824,1944,4774,1427,5592,1132,5351,537,3427,90,1030,0,5,0,0,0,0,20221003
202209,2호선,용두(동대문구청),47,0,1176,149,1610,847,4856,2497,9306,5241,4807,3585,3677,3423,3887,3276,3952,3110,3920,3867,3816,3974,4173,4416,4496,4380,4655,4657,5506,7647,2389,5092,1481,2745,1339,2758,725,2377,265,1651,36,468,0,11,0,0,0,0,20221003
202209,2호선,을지로3가,25,1,1049,1600,2439,18100,5452,64396,10889,163757,13265,68362,15101,29772,19961,23973,21742,23150,24134,25722,27240,22724,31859,21702,39418,23967,81744,29819,128962,35955,49777,21544,36618,11860,38369,9928,35003,8403,22163,5774,3888,1628,7,70,0,2,0,0,20221003
202209,2호선,을지로4가,13,0,889,1455,1924,13362,4383,32755,8826,74002,8525,37027,10631,22274,14427,20618,16485,18965,18657,18764,21226,17592,24134,16391,29842,14666,51551,14251,64069,14903,27039,8781,15794,5817,12816,5146,9094,4845,4959,3912,923,1295,6,46,0,0,0,0,20221003
202209,2호선,을지로입구,68,0,2341,2613,3733,25216,9386,115390,15960,302187,19730,142999,23346,63781,32542,57089,39000,51095,48208,50514,55030,45350,66986,43958,79441,44628,144291,50763,253975,53957,103875,30776,90726,18748,63773,17004,46843,16007,20238,10394,3124,3647,10,655,0,7,0,0,20221003
202209,2호선,이대,45,1,3180,984,8271,6888,24506,15518,34386,43593,20434,46265,15873,40390,18349,25249,25095,29615,25244,30799,25298,22757,33759,23749,38199,24926,49423,31557,44304,42161,25490,29973,21988,19425,22602,19212,16699,20079,6541,15263,857,4112,4,116,0,0,0,0,20221003
202209,2호선,잠실(송파구청),74,3,11224,4430,44650,31769,112496,72806,154960,169624,113628,150874,76764,101458,74819,103370,83433,104175,91279,105728,98615,107171,118329,117810,138122,133420,179164,170205,214407,216189,143275,142039,146825,90719,133777,83354,94759,80735,28932,44460,3744,8978,24,272,0,6,0,0,20221003
