Code,WT,EC,TOC,TN,TP,PO4-P,Chl-a,NO3-N,NH3-N,TC,FC,HRT,Toxic CYA,Non-toxic CYA
St 3-20,23.4,267,3.9,1.85,0.034,0.005,10.9,1.277,0.162,28,1,10.6,24229,9833
St 3-21,24.6,301,4.5,1.736,0.042,0,15.5,1.156,0.148,22,3,8.8,23175,7800
St 3-22,24.3,288,4.3,2.045,0.051,0.006,19.4,1.383,0.138,68,18,7.5,11381,5750
St 3-23,23.9,304,5.2,2.15,0.091,0.042,16.5,1.47,0.241,1520,149,25.7,1160,1060
St 3-24,25,141,5.6,2.789,0.125,0.071,10.4,1.951,0.131,720,137,0.8,956,333
St 3-25,26.1,167,5.3,2.65,0.117,0.044,26.6,1.982,0.056,163,10,3.6,1838,1630
St 3-26,27.5,195,6.6,2.6,0.064,0.017,30.9,1.81,0.058,31,8,7.2,5917,1478
St 3-27,29.4,225,5.2,2.548,0.07,0.028,12.9,1.829,0.093,105,8,7.3,16654,2900
St 3-28,30.3,248,5.6,2.298,0.033,0.009,27,1.595,0.055,75,8,6.9,12953,1217
St 3-29,30.8,296,5.4,2.466,0.07,0.006,27.9,1.463,0.043,69,25,29.4,79155,3451
St 3-30,30.8,267,7.6,1.885,0.074,0.003,37.7,0.705,0.032,6900,620,63.5,204012,3950
St 3-31,27.6,249,6,1.656,0.037,0.006,41.2,0.841,0.054,28,10,10.5,67067,1130
St 3-32,23.9,285,4.9,2.625,0.084,0.045,18.2,1.873,0.145,2700,109,3.5,1575,339
St 3-33,24.5,228,5.4,3.267,0.091,0.06,25.1,2.449,0.09,173,20,3.4,4491,280
St 3-34,21.4,177,4.3,2.069,0.067,0.045,7.2,1.576,0.113,3950,308,3,1128,787
St 3-35,22.3,176,4.7,2.328,0.058,0.033,20.8,1.866,0.021,400,26,3.2,1324,4080
St 3-36,21.9,201,4.4,2.425,0.047,0.025,27.7,1.87,0.025,750,125,4.5,828,2500
St 3-37,20,198,5.4,2.583,0.082,0.052,22.1,1.989,0.043,2250,67,1.3,418,890
St 3-38,18.9,177,4.4,2.378,0.049,0.032,30.3,1.955,0.025,4450,273,2.9,1042,760
St 3-39,18.6,185,4.1,2.297,0.043,0.007,34.9,1.93,0.016,400,16,5.3,1086,560
St 3-40,16.8,224,4.4,2.304,0.031,0.003,52.4,1.895,0.011,188,16,7,365,4020
St 3-41,14,240,5.1,2.461,0.024,0,84.1,1.825,0.011,45,2,8.1,0,2060
St 3-42,13.4,252,4.7,2.507,0.016,0,32.2,1.887,0.016,42,1,9.7,157,1330
St 3-43,13.2,263,3.7,2.522,0.015,0,10,1.916,0.029,43,1,10.7,1058,30
St 3-44,10.3,292,3.8,2.617,0.018,0.005,9,2.109,0.05,65,2,11.3,1158,0
St 3-45,8.3,325,4.1,3.115,0.017,0,12.7,2.517,0.055,41,2,10.7,4277,110
St 3-46,7.1,345,3.6,3.107,0.018,0,6.8,2.572,0.057,23,1,11.4,2808,0
St 3-47,5.7,372,3.5,3.383,0.017,0,7.7,2.697,0.072,10,1,12.1,602,40
St 3-48,7.2,291,3.6,3.376,0.045,0.018,8.2,2.808,0.091,2050,165,7.1,143,1819
